Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,4.5,0,0,255,255,255
250,4.5,0,0.0112,255,255,255
500,4.5,0,0.053,255,255,255
750,4.5,0,0.124,255,255,255
1000,4.5,0,0.2221,255,255,255
1250,4.5,0,0.3455,255,255,255
1500,4.5,0,0.492,255,255,255
1750,4.5,0,0.6598,255,255,255
2000,4.5,0,0.8469,255,255,255
2250,4.5,0,1.0512,255,255,255
2500,4.5,0,1.2709,255,255,255
2750,4.5,0,1.5038,255,255,255
3000,4.5,0,1.7482,255,255,255
3250,4.5,0,2.0018,255,255,255
3500,4.5,0,2.2629,255,255,255
3750,4.5,0,2.5294,255,255,255
4000,4.5,0,2.7993,255,255,255
4250,4.5,0,3.0706,255,255,255
4500,4.5,0,3.3415,255,255,255
4750,4.5,0,3.6098,255,255,255
5000,4.5,0,3.8736,255,255,255
5250,4.5,0,4.131,255,255,255
5500,4.5,0,4.3799,255,255,255
5750,4.5,0,4.6184,255,255,255
6000,4.5,0,4.8445,255,255,255
6250,4.5,0,5.0562,255,255,255
6500,4.5,0,5.2516,255,255,255
6750,4.5,0,5.4286,255,255,255
7000,4.5,0,5.5853,255,255,255
7250,4.5,0,5.7197,255,255,255
7500,4.5,0,5.8296,255,255,255
7750,4.5003,0,5.9154,255,255,255
8000,4.5008,0,5.9804,255,255,255
8250,4.5017,0,6.0281,255,255,255
8500,4.5032,0,6.0616,255,255,255
8750,4.5054,0,6.0843,255,255,255
9000,4.5084,0,6.0997,255,255,255
9250,4.5123,0,6.1109,255,255,255
9500,4.5173,0,6.1214,255,255,255
9750,4.5234,0,6.1345,255,255,255
10000,4.5308,0,6.1535,255,255,255
10250,4.5397,0,6.1818,255,255,255
10500,4.5501,0,6.2227,255,255,255
10750,4.562,0,6.2753,255,255,255
11000,4.575,0,6.3333,255,255,255
11250,4.5892,0,6.3965,255,255,255
11500,4.6046,0,6.4647,255,255,255
11750,4.621,0,6.5379,255,255,255
12000,4.6385,0,6.616,255,255,255
12250,4.6571,0,6.6989,255,255,255
12500,4.6767,0,6.7865,255,255,255
12750,4.6974,0,6.8786,255,255,255
13000,4.719,0,6.9753,255,255,255
13250,4.7416,0,7.0764,255,255,255
13500,4.7652,0,7.1818,255,255,255
13750,4.7897,0,7.2915,255,255,255
14000,4.8152,0,7.4053,255,255,255
14250,4.8415,0,7.5231,255,255,255
14500,4.8687,0,7.6449,255,255,255
14750,4.8967,0,7.7706,255,255,255
15000,4.9256,0,7.9,255,255,255
15250,4.9553,0,8.033,255,255,255
15500,4.9858,0,8.1697,255,255,255
15750,5.0171,0,8.3098,255,255,255
16000,5.049,0,8.4532,255,255,255
16250,5.0817,0,8.5998,255,255,255
16500,5.1151,0,8.7495,255,255,255
16750,5.1492,0,8.9022,255,255,255
17000,5.1839,0,9.0579,255,255,255
17250,5.2193,0,9.2163,255,255,255
17500,5.2552,0,9.3774,255,255,255
17750,5.2917,0,9.5411,255,255,255
18000,5.3288,0,9.7074,255,255,255
18250,5.3665,0,9.8761,255,255,255
18500,5.4046,0,10.047,255,255,255
18750,5.4433,0,10.2202,255,255,255
19000,5.4824,0,10.3955,255,255,255
19250,5.522,0,10.5729,255,255,255
19500,5.562,0,10.7521,255,255,255
19750,5.6024,0,10.9332,255,255,255
20000,5.6432,0,11.116,255,255,255
20250,5.6844,0,11.3005,255,255,255
20500,5.7259,0,11.4864,255,255,255
20750,5.7678,0,11.6738,255,255,255
21000,5.8099,0,11.8626,255,255,255
21250,5.8523,0,12.0526,255,255,255
21500,5.895,0,12.2437,255,255,255
21750,5.9379,0,12.4358,255,255,255
22000,5.981,0,12.6289,255,255,255
22250,6.0244,0,12.8228,255,255,255
22500,6.0679,0,13.0175,255,255,255
22750,6.1115,0,13.2128,255,255,255
23000,6.1553,0,13.4087,255,255,255
23250,6.1991,0,13.605,255,255,255
23500,6.2431,0,13.8017,255,255,255
23750,6.2871,0,13.9986,255,255,255
24000,6.3312,0,14.1957,255,255,255
24250,6.3752,0,14.3929,255,255,255
24500,6.4193,0,14.59,255,255,255
24750,6.4633,0,14.787,255,255,255
25000,6.5073,0,14.9837,255,255,255
25250,6.5513,0,15.1801,255,255,255
25500,6.5951,0,15.3761,255,255,255
25750,6.6388,0,15.5715,255,255,255
26000,6.6824,0,15.7663,255,255,255
26250,6.7258,0,15.9604,255,255,255
26500,6.7691,0,16.1536,255,255,255
26750,6.8121,0,16.346,255,255,255
27000,6.8549,0,16.5373,255,255,255
27250,6.8975,0,16.7275,255,255,255
27500,6.9398,0,16.9164,255,255,255
27750,6.9819,0,17.1041,255,255,255
28000,7.0236,0,17.2903,255,255,255
28250,7.065,0,17.4751,255,255,255
28500,7.106,0,17.6582,255,255,255
28750,7.1467,0,17.8396,255,255,255
29000,7.1869,0,18.0192,255,255,255
29250,7.2268,0,18.1969,255,255,255
29500,7.2662,0,18.3726,255,255,255
29750,7.3051,0,18.5462,255,255,255
30000,7.3436,0,18.7176,255,255,255
30250,7.3816,0,18.8867,255,255,255
