Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,4.5,-3,0,255,255,255
250,4.5,-3,0.0111,255,255,255
500,4.5,-3,0.0529,255,255,255
750,4.5,-3,0.1238,255,255,255
1000,4.5,-3,0.2219,255,255,255
1250,4.5,-3,0.3452,255,255,255
1500,4.5,-3,0.4916,255,255,255
1750,4.5,-3,0.6593,255,255,255
2000,4.5,-3,0.8462,255,255,255
2250,4.5,-3,1.0504,255,255,255
2500,4.5,-3,1.2699,255,255,255
2750,4.5,-3,1.5027,255,255,255
3000,4.5,-3,1.7469,255,255,255
3250,4.5,-3,2.0004,255,255,255
3500,4.5,-3,2.2613,255,255,255
3750,4.5,-3,2.5277,255,255,255
4000,4.5,-3,2.7975,255,255,255
4250,4.5,-3,3.0687,255,255,255
4500,4.5,-3,3.3394,255,255,255
4750,4.5,-3,3.6077,255,255,255
5000,4.5,-3,3.8715,255,255,255
5250,4.5,-3,4.1289,255,255,255
5500,4.5,-3,4.3778,255,255,255
5750,4.5,-3,4.6164,255,255,255
6000,4.5,-3,4.8425,255,255,255
6250,4.5,-3,5.0544,255,255,255
6500,4.5,-3,5.2499,255,255,255
6750,4.5,-3,5.4272,255,255,255
7000,4.5,-3.0001,5.5789,255,255,255
7250,4.4999,-3.0005,5.6979,255,255,255
7500,4.4997,-3.001,5.789,255,255,255
7750,4.4996,-3.0015,5.8577,255,255,255
8000,4.4996,-3.0016,5.9095,255,255,255
8250,4.4997,-3.0014,5.9495,255,255,255
8500,4.5001,-3.0006,5.9833,255,255,255
8750,4.5006,-2.9989,6.0162,255,255,255
9000,4.5015,-2.9964,6.0536,255,255,255
9250,4.5028,-2.9927,6.1007,255,255,255
9500,4.5044,-2.988,6.1619,255,255,255
9750,4.5066,-2.9823,6.2373,255,255,255
10000,4.5092,-2.9757,6.3264,255,255,255
10250,4.5123,-2.9683,6.4292,255,255,255
10500,4.5159,-2.9599,6.5454,255,255,255
10750,4.5198,-2.9505,6.6748,255,255,255
11000,4.5241,-2.9402,6.817,255,255,255
11250,4.5288,-2.9289,6.9719,255,255,255
11500,4.5338,-2.9166,7.1392,255,255,255
11750,4.5391,-2.9033,7.3187,255,255,255
12000,4.5447,-2.8891,7.5101,255,255,255
12250,4.5507,-2.8739,7.7132,255,255,255
12500,4.557,-2.858,7.9278,255,255,255
12750,4.5636,-2.8412,8.1535,255,255,255
13000,4.5705,-2.8237,8.3903,255,255,255
13250,4.5778,-2.8054,8.6377,255,255,255
13500,4.5854,-2.7863,8.8957,255,255,255
13750,4.5933,-2.7665,9.1639,255,255,255
14000,4.6015,-2.746,9.4421,255,255,255
14250,4.6099,-2.7247,9.7302,255,255,255
14500,4.6187,-2.7028,10.0277,255,255,255
14750,4.6277,-2.6802,10.3345,255,255,255
15000,4.6369,-2.657,10.6504,255,255,255
15250,4.6465,-2.6331,10.9751,255,255,255
15500,4.6562,-2.6086,11.3084,255,255,255
15750,4.6662,-2.5835,11.65,255,255,255
16000,4.6765,-2.5578,11.9997,255,255,255
16250,4.687,-2.5315,12.3573,255,255,255
16500,4.6976,-2.5047,12.7225,255,255,255
16750,4.7085,-2.4773,13.0951,255,255,255
17000,4.7196,-2.4495,13.4748,255,255,255
17250,4.7309,-2.4211,13.8615,255,255,255
17500,4.7424,-2.3922,14.2548,255,255,255
17750,4.7541,-2.3629,14.6545,255,255,255
18000,4.7659,-2.3331,15.0604,255,255,255
18250,4.7779,-2.3029,15.4722,255,255,255
18500,4.7901,-2.2722,15.8898,255,255,255
18750,4.8024,-2.2412,16.3128,255,255,255
19000,4.8148,-2.2098,16.741,255,255,255
19250,4.8274,-2.178,17.1743,255,255,255
19500,4.8401,-2.1458,17.6123,255,255,255
19750,4.8529,-2.1133,18.0548,255,255,255
20000,4.8658,-2.0805,18.5015,255,255,255
20250,4.8789,-2.0474,18.9523,255,255,255
20500,4.892,-2.0141,19.4069,255,255,255
20750,4.9053,-1.9804,19.865,255,255,255
21000,4.9187,-1.9466,20.3264,255,255,255
21250,4.9323,-1.9124,20.7908,255,255,255
21500,4.9459,-1.8781,21.2581,255,255,255
21750,4.9596,-1.8436,21.7279,255,255,255
22000,4.9734,-1.8089,22.2001,255,255,255
22250,4.9873,-1.7741,22.6744,255,255,255
22500,5.0012,-1.7391,23.1505,255,255,255
22750,5.0152,-1.704,23.6282,255,255,255
23000,5.0292,-1.6688,24.1073,255,255,255
23250,5.0433,-1.6336,24.5875,255,255,255
23500,5.0574,-1.5982,25.0687,255,255,255
23750,5.0716,-1.5628,25.5505,255,255,255
24000,5.0858,-1.5274,26.0327,255,255,255
24250,5.1,-1.4919,26.5151,255,255,255
24500,5.1142,-1.4565,26.9974,255,255,255
24750,5.1283,-1.421,27.4794,255,255,255
25000,5.1425,-1.3857,27.9609,255,255,255
25250,5.1567,-1.3503,28.4416,255,255,255
25500,5.1708,-1.3151,28.9213,255,255,255
25750,5.1849,-1.2799,29.3997,255,255,255
26000,5.199,-1.2448,29.8766,255,255,255
26250,5.213,-1.2099,30.3518,255,255,255
26500,5.2269,-1.1751,30.825,255,255,255
26750,5.2408,-1.1404,31.2959,255,255,255
27000,5.2546,-1.106,31.7645,255,255,255
27250,5.2683,-1.0717,32.2303,255,255,255
27500,5.282,-1.0377,32.6932,255,255,255
27750,5.2955,-1.0039,33.1529,255,255,255
28000,5.3089,-0.9703,33.6091,255,255,255
28250,5.3223,-0.937,34.0618,255,255,255
28500,5.3355,-0.904,34.5105,255,255,255
28750,5.3485,-0.8712,34.9551,255,255,255
29000,5.3615,-0.8388,35.3953,255,255,255
29250,5.3742,-0.8068,35.8309,255,255,255
29500,5.3869,-0.7751,36.2617,255,255,255
29750,5.3994,-0.7437,36.6873,255,255,255
30000,5.4117,-0.7128,37.1076,255,255,255
30250,5.4238,-0.6822,37.5224,255,255,255
30500,5.4357,-0.6521,37.9313,255,255,255
30750,5.4475,-0.6224,38.3342,255,255,255
31000,5.4591,-0.5932,38.7308,255,255,255
31250,5.4704,-0.5645,39.1208,255,255,255
31500,5.4815,-0.5362,39.5041,255,255,255
31750,5.4925,-0.5085,39.8804,255,255,255
32000,5.5031,-0.4813,40.2494,255,255,255
32250,5.5136,-0.4546,40.6109,255,255,255
32500,5.5238,-0.4285,40.9647,255,255,255
32750,5.5337,-0.403,41.3105,255,255,255
33000,5.5434,-0.3781,41.6481,255,255,255
33250,5.5528,-0.3538,41.9772,255,255,255
33500,5.5621,-0.3302,42.2976,255,255,255
33750,5.5711,-0.3072,42.6091,255,255,255
34000,5.5799,-0.2849,42.9113,255,255,255
34250,5.5885,-0.2633,43.2041,255,255,255
34500,5.5968,-0.2424,43.4872,255,255,255
34750,5.6048,-0.2222,43.7604,255,255,255
35000,5.6126,-0.2028,44.0234,255,255,255
35250,5.6201,-0.1842,44.2761,255,255,255
35500,5.6273,-0.1664,44.5182,255,255,255
35750,5.6342,-0.1494,44.7494,255,255,255
36000,5.6407,-0.1333,44.9696,255,255,255
36250,5.6469,-0.118,45.1784,255,255,255
36500,5.6528,-0.1036,45.3757,255,255,255
36750,5.6583,-0.0901,45.5613,255,255,255
37000,5.6635,-0.0775,45.7348,255,255,255
37250,5.6682,-0.0659,45.8961,255,255,255
37500,5.6726,-0.0551,46.0449,255,255,255
37750,5.6767,-0.0452,46.181,255,255,255
38000,5.6804,-0.0362,46.3045,255,255,255
38250,5.6838,-0.028,46.4153,255,255,255
38500,5.6869,-0.0206,46.5134,255,255,255
38750,5.6896,-0.014,46.5989,255,255,255
39000,5.685,-0.0097,46.6606,255,255,255
39250,5.6808,-0.0056,46.7156,255,255,255
39500,5.7039,-0.0026,46.7529,255,255,255
39750,5.7824,-0.0011,46.7687,255,255,255
40000,5.9381,-0.0007,46.7645,255,255,255
40250,6.17,-0.0007,46.7478,255,255,255
40500,6.4754,-0.001,46.7183,255,255,255
40750,6.8514,-0.0017,46.6753,255,255,255
41000,7.2954,-0.0026,46.6184,255,255,255
41250,7.8046,-0.0038,46.5467,255,255,255
41500,8.3762,-0.0053,46.4598,255,255,255
41750,9.0076,-0.007,46.3571,255,255,255
42000,9.6958,-0.0088,46.2379,255,255,255
42250,10.4383,-0.0108,46.1016,255,255,255
42500,11.2323,-0.013,45.9476,255,255,255
42750,12.075,-0.0153,45.7753,255,255,255
43000,12.9636,-0.0177,45.5842,255,255,255
43250,13.8955,-0.0201,45.3735,255,255,255
43500,14.8679,-0.0226,45.1428,255,255,255
43750,15.8775,-0.0251,44.8899,255,255,255
44000,16.9202,-0.0278,44.612,255,255,255
44250,17.9921,-0.0306,44.3091,255,255,255
44500,19.0894,-0.0334,43.9816,255,255,255
44750,20.2083,-0.0364,43.6296,255,255,255
45000,21.3451,-0.0395,43.2531,255,255,255
45250,22.4957,-0.0426,42.8525,255,255,255
45500,23.6566,-0.0459,42.4278,255,255,255
45750,24.8238,-0.0492,41.9793,255,255,255
46000,25.9935,-0.0525,41.5072,255,255,255
46250,27.162,-0.0559,41.0115,255,255,255
46500,28.3253,-0.0594,40.4925,255,255,255
46750,29.4791,-0.0629,39.9507,255,255,255
47000,30.619,-0.0665,39.3882,255,255,255
47250,31.7429,-0.0702,38.8077,255,255,255
47500,32.8485,-0.074,38.2116,255,255,255
47750,33.9336,-0.0778,37.6025,255,255,255
48000,34.9961,-0.0816,36.9829,255,255,255
48250,36.0336,-0.0855,36.3554,255,255,255
48500,37.0442,-0.0894,35.7224,255,255,255
48750,38.0254,-0.0934,35.0865,255,255,255
49000,38.9751,-0.0973,34.4502,255,255,255
49250,39.8912,-0.1013,33.8161,255,255,255
49500,40.7713,-0.1053,33.1868,255,255,255
49750,41.6134,-0.1093,32.5646,255,255,255
50000,42.4159,-0.1133,31.9532,255,255,255
50250,43.1795,-0.1173,31.3564,255,255,255
50500,43.9054,-0.1213,30.7762,255,255,255
50750,44.5944,-0.1253,30.2145,255,255,255
51000,45.2477,-0.1293,29.6733,255,255,255
51250,45.8662,-0.1333,29.1543,255,255,255
51500,46.4509,-0.1373,28.6597,255,255,255
51750,47.0028,-0.1413,28.1912,255,255,255
52000,47.5229,-0.1453,27.7508,255,255,255
52250,48.0122,-0.1493,27.3405,255,255,255
52500,48.4717,-0.1533,26.962,255,255,255
52750,48.9024,-0.1573,26.6174,255,255,255
53000,49.3062,-0.1613,26.3083,255,255,255
53250,49.686,-0.1652,26.0346,255,255,255
53500,50.0434,-0.169,25.795,255,255,255
53750,50.3799,-0.1727,25.5888,255,255,255
54000,50.697,-0.1764,25.4147,255,255,255
54250,50.9963,-0.1799,25.2718,255,255,255
54500,51.2794,-0.1834,25.159,255,255,255
54750,51.5478,-0.1868,25.0753,255,255,255
55000,51.803,-0.1901,25.0197,255,255,255
55250,52.0466,-0.1933,24.9911,255,255,255
55500,52.28,-0.1964,24.9885,255,255,255
55750,52.5049,-0.1995,25.0109,255,255,255
56000,52.7228,-0.2025,25.0563,255,255,255
56250,52.9341,-0.2053,25.1215,255,255,255
56500,53.1387,-0.2081,25.2041,255,255,255
56750,53.3363,-0.2108,25.3018,255,255,255
57000,53.5267,-0.2134,25.4122,255,255,255
57250,53.7096,-0.2159,25.5331,255,255,255
57500,53.885,-0.2182,25.6622,255,255,255
57750,54.0525,-0.2204,25.797,255,255,255
58000,54.2119,-0.2226,25.9353,255,255,255
58250,54.3631,-0.2246,26.0748,255,255,255
58500,54.5058,-0.2264,26.2131,255,255,255
58750,54.6398,-0.2282,26.348,255,255,255
59000,54.7649,-0.2297,26.477,255,255,255
59250,54.8792,-0.2312,26.593,255,255,255
59500,54.9797,-0.2324,26.6879,255,255,255
59750,55.0667,-0.2333,26.766,255,255,255
60000,55.1404,-0.2341,26.8314,255,255,255
60250,55.2011,-0.2347,26.8886,255,255,255
60500,55.2491,-0.2352,26.9418,255,255,255
60750,55.2848,-0.2355,26.9955,255,255,255
61000,55.3083,-0.2358,27.0538,255,255,255
61250,55.3199,-0.2359,27.1212,255,255,255
61500,55.3201,-0.236,27.202,255,255,255
61750,55.309,-0.236,27.3004,255,255,255
62000,55.289,-0.236,27.422,255,255,255
62250,55.2646,-0.236,27.5698,255,255,255
62500,55.2361,-0.236,27.7422,255,255,255
62750,55.2037,-0.236,27.9375,255,255,255
63000,55.1679,-0.236,28.154,255,255,255
63250,55.1289,-0.236,28.3901,255,255,255
63500,55.0871,-0.236,28.6441,255,255,255
63750,55.0427,-0.236,28.9142,255,255,255
64000,54.996,-0.236,29.1989,255,255,255
64250,54.9473,-0.236,29.4965,255,255,255
64500,54.8968,-0.236,29.8054,255,255,255
64750,54.8445,-0.236,30.1241,255,255,255
65000,54.7909,-0.236,30.4509,255,255,255
65250,54.7362,-0.236,30.784,255,255,255
65500,54.6807,-0.236,31.1219,255,255,255
65750,54.6247,-0.236,31.4629,255,255,255
66000,54.5684,-0.236,31.8053,255,255,255
66250,54.5121,-0.236,32.1475,255,255,255
66500,54.4561,-0.236,32.4877,255,255,255
66750,54.4007,-0.236,32.8245,255,255,255
67000,54.3461,-0.236,33.1559,255,255,255
67250,54.2927,-0.236,33.4805,255,255,255
67500,54.2406,-0.236,33.7966,255,255,255
67750,54.1902,-0.236,34.1025,255,255,255
68000,54.1417,-0.236,34.3965,255,255,255
68250,54.0955,-0.236,34.6769,255,255,255
68500,54.0517,-0.236,34.9422,255,255,255
68750,54.0108,-0.236,35.1907,255,255,255
69000,53.9728,-0.236,35.4206,255,255,255
69250,53.9382,-0.236,35.6304,255,255,255
69500,53.9072,-0.236,35.8183,255,255,255
69750,53.8801,-0.236,35.9827,255,255,255
70000,53.8571,-0.236,36.122,255,255,255
70250,53.8385,-0.236,36.2345,255,255,255
70500,53.8246,-0.236,36.3185,255,255,255
70750,53.8157,-0.236,36.3724,255,255,255
71000,53.8121,-0.236,36.3945,255,255,255
71250,53.812,-0.236,36.395,255,255,255
71500,53.812,-0.236,36.395,255,255,255
71750,53.812,-0.236,36.395,255,255,255
72000,53.8081,-0.2408,36.3882,255,255,255
72250,53.7927,-0.2527,36.3617,255,255,255
72500,53.7643,-0.2604,36.3142,255,255,255
72750,53.7218,-0.2524,36.2448,255,255,255
73000,53.664,-0.2171,36.1526,255,255,255
73250,53.5899,-0.1431,36.0367,255,255,255
73500,53.4982,-0.0187,35.8961,255,255,255
73750,53.3877,0.1641,35.7325,255,255,255
74000,53.2622,0.4043,35.5518,255,255,255
74250,53.1302,0.7034,35.3573,255,255,255
74500,53.0001,1.0626,35.1523,255,255,255
74750,52.8802,1.4835,34.9398,255,255,255
75000,52.779,1.9673,34.7231,255,255,255
75250,52.705,2.5154,34.5054,255,255,255
75500,52.6664,3.1293,34.2898,255,255,255
75750,52.6747,3.8119,34.0798,255,255,255
76000,52.7461,4.5598,33.8789,255,255,255
76250,52.8928,5.3602,33.6897,255,255,255
76500,53.1271,6.2005,33.5149,255,255,255
76750,53.4612,7.0678,33.3573,255,255,255
77000,53.9075,7.9493,33.2194,255,255,255
77250,54.4781,8.8324,33.104,255,255,255
77500,55.1851,9.7008,33.0135,255,255,255
77750,56.0282,10.5302,32.9487,255,255,255
78000,56.9979,11.2983,32.9097,255,255,255
78250,58.0845,11.983,32.8969,255,255,255
78500,59.2784,12.562,32.9105,255,255,255
78750,60.5701,13.0133,32.9506,255,255,255
79000,61.9466,13.316,33.0172,255,255,255
79250,63.3824,13.4621,33.1083,255,255,255
79500,64.8501,13.4499,33.2215,255,255,255
79750,66.3223,13.2778,33.3546,255,255,255
80000,67.7717,12.944,33.5052,255,255,255
80250,69.1707,12.449,33.671,255,255,255
80500,70.4994,11.808,33.8495,255,255,255
80750,71.7445,11.044,34.0372,255,255,255
81000,72.8925,10.1795,34.2307,255,255,255
81250,73.93,9.2373,34.4267,255,255,255
81500,74.8436,8.2403,34.6216,255,255,255
81750,75.624,7.2121,34.8123,255,255,255
82000,76.2785,6.1771,34.996,255,255,255
82250,76.8172,5.1572,35.1698,255,255,255
82500,77.2501,4.1742,35.3305,255,255,255
82750,77.5875,3.2499,35.4752,255,255,255
83000,77.8394,2.4063,35.601,255,255,255
83250,78.0165,1.6621,35.7022,255,255,255
83500,78.1319,1.0267,35.7754,255,255,255
83750,78.1986,0.5097,35.8248,255,255,255
84000,78.2298,0.1208,35.855,255,255,255
84250,78.2386,-0.1302,35.8702,255,255,255
84500,78.2381,-0.2338,35.8749,255,255,255
84750,78.238,-0.236,35.875,255,255,255
85000,78.238,-0.236,35.875,255,255,255
85250,78.238,-0.236,35.875,255,255,255
85500,78.238,-0.236,35.875,255,255,255
85750,78.238,-0.236,35.875,255,255,255
86000,78.238,-0.236,35.875,255,255,255
86250,78.238,-0.236,35.875,255,255,255
86500,78.238,-0.236,35.875,255,255,255
86750,78.238,-0.236,35.875,255,255,255
87000,78.238,-0.236,35.875,255,255,255
87250,78.238,-0.236,35.875,255,255,255
87500,78.238,-0.236,35.875,255,255,255
87750,78.238,-0.236,35.875,255,255,255
88000,78.238,-0.236,35.875,255,255,255
88250,78.238,-0.236,35.875,255,255,255
88500,78.238,-0.236,35.875,255,255,255
88750,78.238,-0.236,35.875,255,255,255
89000,78.238,-0.236,35.875,255,255,255
89250,78.238,-0.236,35.875,255,255,255
89500,78.238,-0.236,35.875,255,255,255
89750,78.238,-0.236,35.875,255,255,255
90000,78.238,-0.236,35.875,255,255,255
90250,78.238,-0.236,35.875,255,255,255
90500,78.238,-0.236,35.875,255,255,255
90750,78.238,-0.236,35.875,255,255,255
91000,78.238,-0.236,35.875,255,255,255
91250,78.238,-0.236,35.875,255,255,255
91500,78.238,-0.236,35.875,255,255,255
91750,78.238,-0.236,35.875,255,255,255
92000,78.238,-0.236,35.875,255,255,255
92250,78.238,-0.236,35.875,255,255,255
92500,78.238,-0.236,35.875,255,255,255
92750,78.238,-0.236,35.875,255,255,255
93000,78.238,-0.236,35.875,255,255,255
93250,78.238,-0.236,35.875,255,255,255
93500,78.238,-0.236,35.875,255,255,255
93750,78.238,-0.236,35.875,255,255,255
94000,78.238,-0.236,35.875,255,255,255
94250,78.238,-0.236,35.875,255,255,255
94500,78.238,-0.236,35.875,255,255,255
94750,78.238,-0.236,35.875,255,255,255
95000,78.238,-0.236,35.875,255,255,255
95250,78.238,-0.236,35.875,255,255,255
95500,78.238,-0.236,35.875,255,255,255
95750,78.238,-0.236,35.875,255,255,255
96000,78.238,-0.236,35.875,255,255,255
96250,78.238,-0.236,35.875,255,255,255
96500,78.238,-0.236,35.875,255,255,255
96750,78.238,-0.236,35.875,255,255,255
97000,78.238,-0.236,35.875,255,255,255
97250,78.238,-0.236,35.875,255,255,255
97500,78.238,-0.236,35.875,255,255,255
97750,78.238,-0.236,35.875,255,255,255
98000,78.238,-0.236,35.875,255,255,255
98250,78.238,-0.236,35.875,255,255,255
98500,78.238,-0.236,35.875,255,255,255
98750,78.238,-0.236,35.875,255,255,255
99000,78.238,-0.236,35.875,255,255,255
99250,78.238,-0.236,35.875,255,255,255
99500,78.238,-0.236,35.875,255,255,255
99750,78.238,-0.236,35.875,255,255,255
