Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-4.5,3,0,255,255,255
250,-4.5,3,0.0112,255,255,255
500,-4.5,3,0.053,255,255,255
750,-4.5,3,0.124,255,255,255
1000,-4.5,3,0.2221,255,255,255
1250,-4.5,3,0.3455,255,255,255
1500,-4.5,3,0.492,255,255,255
1750,-4.5,3,0.6598,255,255,255
2000,-4.5,3,0.8469,255,255,255
2250,-4.5,3,1.0512,255,255,255
2500,-4.5,3,1.2709,255,255,255
2750,-4.5,3,1.5038,255,255,255
3000,-4.5,3,1.7482,255,255,255
3250,-4.5,3,2.0018,255,255,255
3500,-4.5,3,2.2629,255,255,255
3750,-4.5,3,2.5294,255,255,255
4000,-4.5,3,2.7993,255,255,255
4250,-4.5,3,3.0706,255,255,255
4500,-4.5,3,3.3415,255,255,255
4750,-4.5,3,3.6098,255,255,255
5000,-4.5,3,3.8736,255,255,255
5250,-4.5,3,4.131,255,255,255
5500,-4.5,3,4.3799,255,255,255
5750,-4.5,3,4.6184,255,255,255
6000,-4.5,3,4.8445,255,255,255
6250,-4.5,3,5.0562,255,255,255
6500,-4.5,3,5.2516,255,255,255
6750,-4.5,3,5.4286,255,255,255
7000,-4.5,3,5.5853,255,255,255
7250,-4.5,3,5.7197,255,255,255
7500,-4.5,3,5.8284,255,255,255
7750,-4.5,3.0001,5.9102,255,255,255
8000,-4.5,2.9999,5.9692,255,255,255
8250,-4.5002,2.9995,6.0095,255,255,255
8500,-4.5005,2.9987,6.0354,255,255,255
8750,-4.5011,2.9973,6.0511,255,255,255
9000,-4.502,2.9951,6.0606,255,255,255
9250,-4.5032,2.9921,6.0684,255,255,255
9500,-4.5048,2.988,6.0784,255,255,255
9750,-4.5069,2.9828,6.0949,255,255,255
10000,-4.5095,2.9762,6.1221,255,255,255
10250,-4.5126,2.9684,6.1601,255,255,255
10500,-4.5162,2.9597,6.2033,255,255,255
10750,-4.5201,2.9501,6.2514,255,255,255
11000,-4.5244,2.9396,6.3043,255,255,255
11250,-4.529,2.9281,6.3619,255,255,255
11500,-4.5341,2.9159,6.4242,255,255,255
11750,-4.5394,2.9027,6.4911,255,255,255
12000,-4.5451,2.8887,6.5624,255,255,255
12250,-4.5511,2.8738,6.6381,255,255,255
12500,-4.5574,2.8581,6.7181,255,255,255
12750,-4.564,2.8416,6.8023,255,255,255
13000,-4.5709,2.8243,6.8906,255,255,255
13250,-4.5781,2.8062,6.983,255,255,255
13500,-4.5855,2.7872,7.0792,255,255,255
13750,-4.5932,2.7675,7.1794,255,255,255
14000,-4.6011,2.747,7.2833,255,255,255
14250,-4.6092,2.7258,7.3908,255,255,255
14500,-4.6176,2.7038,7.502,255,255,255
14750,-4.6262,2.681,7.6166,255,255,255
15000,-4.6351,2.6577,7.7346,255,255,255
15250,-4.6442,2.6336,7.8559,255,255,255
15500,-4.6537,2.609,7.9804,255,255,255
15750,-4.6634,2.5837,8.1079,255,255,255
16000,-4.6734,2.5579,8.2385,255,255,255
16250,-4.6836,2.5315,8.372,255,255,255
16500,-4.6941,2.5045,8.5083,255,255,255
16750,-4.7048,2.477,8.6474,255,255,255
17000,-4.7157,2.4489,8.7891,255,255,255
17250,-4.7269,2.4204,8.9333,255,255,255
17500,-4.7383,2.3914,9.0801,255,255,255
17750,-4.7498,2.3619,9.2292,255,255,255
18000,-4.7616,2.332,9.3807,255,255,255
18250,-4.7736,2.3016,9.5343,255,255,255
18500,-4.7858,2.2708,9.69,255,255,255
18750,-4.7981,2.2396,9.8478,255,255,255
19000,-4.8106,2.2081,10.0075,255,255,255
19250,-4.8233,2.1762,10.1691,255,255,255
19500,-4.8361,2.1439,10.3324,255,255,255
19750,-4.849,2.1113,10.4974,255,255,255
20000,-4.8621,2.0785,10.664,255,255,255
20250,-4.8754,2.0453,10.8321,255,255,255
20500,-4.8887,2.0118,11.0015,255,255,255
20750,-4.9022,1.9781,11.1723,255,255,255
21000,-4.9158,1.9442,11.3443,255,255,255
21250,-4.9294,1.91,11.5175,255,255,255
21500,-4.9432,1.8756,11.6917,255,255,255
21750,-4.957,1.8411,11.8668,255,255,255
22000,-4.971,1.8064,12.0428,255,255,255
22250,-4.985,1.7715,12.2196,255,255,255
22500,-4.999,1.7365,12.3971,255,255,255
22750,-5.0131,1.7014,12.5752,255,255,255
23000,-5.0273,1.6662,12.7538,255,255,255
23250,-5.0415,1.6309,12.9328,255,255,255
23500,-5.0557,1.5956,13.1121,255,255,255
23750,-5.0699,1.5602,13.2917,255,255,255
24000,-5.0842,1.5248,13.4715,255,255,255
24250,-5.0985,1.4894,13.6513,255,255,255
24500,-5.1127,1.454,13.8311,255,255,255
24750,-5.127,1.4186,14.0107,255,255,255
25000,-5.1412,1.3833,14.1902,255,255,255
25250,-5.1555,1.348,14.3694,255,255,255
25500,-5.1697,1.3128,14.5481,255,255,255
25750,-5.1838,1.2777,14.7265,255,255,255
26000,-5.1979,1.2427,14.9042,255,255,255
26250,-5.212,1.2079,15.0813,255,255,255
26500,-5.226,1.1732,15.2577,255,255,255
26750,-5.2399,1.1387,15.4332,255,255,255
27000,-5.2537,1.1043,15.6079,255,255,255
27250,-5.2675,1.0702,15.7815,255,255,255
27500,-5.2812,1.0363,15.954,255,255,255
27750,-5.2947,1.0026,16.1253,255,255,255
28000,-5.3082,0.9692,16.2954,255,255,255
28250,-5.3216,0.9361,16.4641,255,255,255
28500,-5.3348,0.9032,16.6313,255,255,255
28750,-5.3479,0.8707,16.797,255,255,255
29000,-5.3609,0.8385,16.9611,255,255,255
29250,-5.3738,0.8067,17.1234,255,255,255
29500,-5.3865,0.7751,17.2839,255,255,255
29750,-5.399,0.744,17.4425,255,255,255
30000,-5.4114,0.7133,17.5991,255,255,255
30250,-5.4236,0.6829,17.7537,255,255,255
30500,-5.4357,0.653,17.9061,255,255,255
30750,-5.4475,0.6236,18.0562,255,255,255
31000,-5.4592,0.5946,18.204,255,255,255
31250,-5.4707,0.566,18.3493,255,255,255
31500,-5.482,0.538,18.4922,255,255,255
31750,-5.493,0.5104,18.6324,255,255,255
32000,-5.5039,0.4834,18.7699,255,255,255
32250,-5.5145,0.4569,18.9046,255,255,255
32500,-5.5249,0.431,19.0365,255,255,255
32750,-5.535,0.4056,19.1654,255,255,255
33000,-5.5449,0.3808,19.2913,255,255,255
33250,-5.5545,0.3566,19.414,255,255,255
33500,-5.5639,0.3331,19.5335,255,255,255
33750,-5.573,0.3101,19.6496,255,255,255
34000,-5.5818,0.2878,19.7624,255,255,255
34250,-5.5903,0.2662,19.8717,255,255,255
34500,-5.5986,0.2453,19.9774,255,255,255
34750,-5.6065,0.2251,20.0794,255,255,255
35000,-5.6141,0.2055,20.1776,255,255,255
35250,-5.6214,0.1868,20.272,255,255,255
35500,-5.6284,0.1687,20.3625,255,255,255
35750,-5.635,0.1514,20.449,255,255,255
36000,-5.6413,0.1349,20.5313,255,255,255
36250,-5.6473,0.1192,20.6094,255,255,255
36500,-5.6529,0.1043,20.6833,255,255,255
