Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-7.5,3,0,255,255,255
250,-7.5,3,0.0112,255,255,255
500,-7.5,3,0.053,255,255,255
750,-7.5,3,0.124,255,255,255
1000,-7.5,3,0.2221,255,255,255
1250,-7.5,3,0.3455,255,255,255
1500,-7.5,3,0.492,255,255,255
1750,-7.5,3,0.6598,255,255,255
2000,-7.5,3,0.8469,255,255,255
2250,-7.5,3,1.0512,255,255,255
2500,-7.5,3,1.2709,255,255,255
2750,-7.5,3,1.5038,255,255,255
3000,-7.5,3,1.7482,255,255,255
3250,-7.5,3,2.0018,255,255,255
3500,-7.5,3,2.2629,255,255,255
3750,-7.5,3,2.5294,255,255,255
4000,-7.5,3,2.7993,255,255,255
4250,-7.5,3,3.0706,255,255,255
4500,-7.5,3,3.3415,255,255,255
4750,-7.5,3,3.6098,255,255,255
5000,-7.5,3,3.8736,255,255,255
5250,-7.5,3,4.131,255,255,255
5500,-7.5,3,4.3799,255,255,255
5750,-7.5,3,4.6184,255,255,255
6000,-7.5,3,4.8445,255,255,255
6250,-7.5,3,5.0562,255,255,255
6500,-7.5,3,5.2516,255,255,255
6750,-7.5,3,5.4286,255,255,255
7000,-7.5,3,5.5853,255,255,255
7250,-7.5,3,5.7197,255,255,255
7500,-7.5,3,5.8284,255,255,255
7750,-7.4999,3.0001,5.9102,255,255,255
8000,-7.4999,2.9999,5.9693,255,255,255
8250,-7.4999,2.9995,6.0098,255,255,255
8500,-7.5001,2.9987,6.0362,255,255,255
8750,-7.5004,2.9973,6.0525,255,255,255
9000,-7.5009,2.9951,6.0632,255,255,255
9250,-7.5016,2.9921,6.0723,255,255,255
9500,-7.5026,2.988,6.0843,255,255,255
9750,-7.5039,2.9828,6.1032,255,255,255
10000,-7.5057,2.9762,6.1335,255,255,255
10250,-7.5077,2.9684,6.1752,255,255,255
10500,-7.5101,2.9597,6.2226,255,255,255
10750,-7.5126,2.9501,6.2754,255,255,255
11000,-7.5154,2.9396,6.3335,255,255,255
11250,-7.5183,2.9281,6.3968,255,255,255
11500,-7.5215,2.9159,6.4652,255,255,255
11750,-7.5248,2.9027,6.5387,255,255,255
12000,-7.5284,2.8887,6.617,255,255,255
12250,-7.5321,2.8738,6.7001,255,255,255
12500,-7.536,2.8581,6.7879,255,255,255
12750,-7.54,2.8416,6.8802,255,255,255
13000,-7.5442,2.8243,6.9771,255,255,255
13250,-7.5486,2.8062,7.0783,255,255,255
13500,-7.5531,2.7872,7.1838,255,255,255
13750,-7.5577,2.7675,7.2934,255,255,255
14000,-7.5624,2.747,7.4071,255,255,255
14250,-7.5672,2.7258,7.5247,255,255,255
14500,-7.5722,2.7038,7.6462,255,255,255
14750,-7.5772,2.681,7.7715,255,255,255
15000,-7.5825,2.6577,7.9004,255,255,255
15250,-7.5879,2.6336,8.033,255,255,255
15500,-7.5936,2.6089,8.1691,255,255,255
15750,-7.5994,2.5836,8.3087,255,255,255
16000,-7.6054,2.5578,8.4515,255,255,255
16250,-7.6116,2.5313,8.5976,255,255,255
16500,-7.6179,2.5043,8.7468,255,255,255
16750,-7.6244,2.4767,8.8991,255,255,255
17000,-7.631,2.4486,9.0542,255,255,255
17250,-7.6378,2.42,9.2122,255,255,255
17500,-7.6448,2.391,9.373,255,255,255
17750,-7.6519,2.3614,9.5363,255,255,255
18000,-7.6591,2.3314,9.7022,255,255,255
18250,-7.6664,2.301,9.8706,255,255,255
18500,-7.6739,2.2701,10.0413,255,255,255
18750,-7.6814,2.2389,10.2142,255,255,255
19000,-7.6891,2.2073,10.3892,255,255,255
19250,-7.6969,2.1753,10.5663,255,255,255
19500,-7.7048,2.143,10.7454,255,255,255
19750,-7.7128,2.1103,10.9263,255,255,255
20000,-7.7208,2.0774,11.1089,255,255,255
20250,-7.729,2.0441,11.2932,255,255,255
20500,-7.7372,2.0106,11.479,255,255,255
20750,-7.7455,1.9769,11.6663,255,255,255
21000,-7.7539,1.9429,11.855,255,255,255
21250,-7.7623,1.9086,12.0449,255,255,255
21500,-7.7708,1.8742,12.2359,255,255,255
21750,-7.7794,1.8396,12.428,255,255,255
22000,-7.7879,1.8049,12.6211,255,255,255
22250,-7.7966,1.77,12.815,255,255,255
22500,-7.8052,1.735,13.0097,255,255,255
22750,-7.8139,1.6999,13.205,255,255,255
23000,-7.8226,1.6646,13.4009,255,255,255
23250,-7.8314,1.6294,13.5973,255,255,255
23500,-7.8401,1.594,13.7941,255,255,255
23750,-7.8489,1.5586,13.9911,255,255,255
24000,-7.8576,1.5233,14.1883,255,255,255
24250,-7.8664,1.4879,14.3855,255,255,255
24500,-7.8751,1.4525,14.5827,255,255,255
24750,-7.8839,1.4172,14.7798,255,255,255
25000,-7.8926,1.3819,14.9767,255,255,255
25250,-7.9013,1.3467,15.1733,255,255,255
25500,-7.9099,1.3116,15.3694,255,255,255
25750,-7.9185,1.2766,15.565,255,255,255
26000,-7.9271,1.2417,15.76,255,255,255
26250,-7.9357,1.207,15.9543,255,255,255
26500,-7.9441,1.1724,16.1477,255,255,255
26750,-7.9526,1.1381,16.3403,255,255,255
27000,-7.9609,1.1039,16.5318,255,255,255
27250,-7.9692,1.0699,16.7222,255,255,255
27500,-7.9775,1.0362,16.9114,255,255,255
27750,-7.9856,1.0027,17.0993,255,255,255
28000,-7.9937,0.9695,17.2858,255,255,255
28250,-8.0016,0.9366,17.4708,255,255,255
28500,-8.0095,0.904,17.6542,255,255,255
28750,-8.0174,0.8715,17.8359,255,255,255
29000,-8.0252,0.8394,18.0158,255,255,255
29250,-8.0329,0.8076,18.1939,255,255,255
29500,-8.0405,0.7761,18.3699,255,255,255
29750,-8.048,0.745,18.5439,255,255,255
30000,-8.0554,0.7142,18.7157,255,255,255
30250,-8.0628,0.6838,18.8852,255,255,255
30500,-8.07,0.6538,19.0523,255,255,255
30750,-8.0771,0.6242,19.217,255,255,255
31000,-8.0842,0.5951,19.3791,255,255,255
31250,-8.0911,0.5664,19.5385,255,255,255
31500,-8.0979,0.5382,19.6951,255,255,255
31750,-8.1046,0.5105,19.8489,255,255,255
32000,-8.1111,0.4833,19.9997,255,255,255
32250,-8.1176,0.4567,20.1475,255,255,255
32500,-8.1239,0.4306,20.2921,255,255,255
32750,-8.13,0.4051,20.4334,255,255,255
33000,-8.136,0.3801,20.5714,255,255,255
33250,-8.1419,0.3558,20.7059,255,255,255
33500,-8.1477,0.3322,20.8369,255,255,255
33750,-8.1532,0.3091,20.9642,255,255,255
34000,-8.1587,0.2868,21.0878,255,255,255
34250,-8.1639,0.2651,21.2076,255,255,255
34500,-8.169,0.2442,21.3233,255,255,255
34750,-8.174,0.2239,21.4351,255,255,255
35000,-8.1787,0.2044,21.5427,255,255,255
35250,-8.1833,0.1857,21.6461,255,255,255
35500,-8.1877,0.1678,21.7451,255,255,255
35750,-8.1919,0.1507,21.8397,255,255,255
36000,-8.1959,0.1344,21.9298,255,255,255
36250,-8.1998,0.119,22.0152,255,255,255
36500,-8.2034,0.1044,22.0959,255,255,255
36750,-8.2068,0.0907,22.1718,255,255,255
37000,-8.21,0.0779,22.2427,255,255,255
37250,-8.2129,0.0661,22.3085,255,255,255
37500,-8.2156,0.0552,22.3693,255,255,255
37750,-8.218,0.0452,22.4248,255,255,255
38000,-8.2203,0.0362,22.475,255,255,255
38250,-8.2223,0.0282,22.5198,255,255,255
38500,-8.2241,0.0211,22.5591,255,255,255
38750,-8.2257,0.0149,22.5929,255,255,255
39000,-8.2267,0.0099,22.6208,255,255,255
39250,-8.2241,0.0061,22.6458,255,255,255
39500,-8.2143,0.0034,22.6733,255,255,255
39750,-8.1937,0.0015,22.709,255,255,255
40000,-8.1587,0.0001,22.7586,255,255,255
40250,-8.1056,-0.0009,22.8275,255,255,255
40500,-8.0309,-0.0018,22.9214,255,255,255
40750,-7.934,-0.0029,23.0428,255,255,255
41000,-7.8183,-0.004,23.1888,255,255,255
41250,-7.683,-0.0053,23.3596,255,255,255
41500,-7.5274,-0.0067,23.5559,255,255,255
41750,-7.3506,-0.0083,23.778,255,255,255
42000,-7.1516,-0.01,24.0264,255,255,255
42250,-6.9298,-0.0117,24.3016,255,255,255
42500,-6.6841,-0.0137,24.6041,255,255,255
42750,-6.4138,-0.0157,24.9343,255,255,255
43000,-6.118,-0.0179,25.2928,255,255,255
43250,-5.7958,-0.0202,25.6799,255,255,255
43500,-5.4464,-0.0226,26.0962,255,255,255
43750,-5.0684,-0.0251,26.5429,255,255,255
44000,-4.6596,-0.0277,27.0211,255,255,255
44250,-4.2185,-0.0304,27.5297,255,255,255
44500,-3.7438,-0.0331,28.0676,255,255,255
44750,-3.234,-0.0359,28.6336,255,255,255
45000,-2.6879,-0.0388,29.2266,255,255,255
45250,-2.104,-0.0419,29.8454,255,255,255
45500,-1.481,-0.045,30.489,255,255,255
45750,-0.8174,-0.0482,31.1562,255,255,255
46000,-0.1119,-0.0516,31.8459,255,255,255
46250,0.637,-0.0551,32.5568,255,255,255
46500,1.4305,-0.0587,33.288,255,255,255
46750,2.2701,-0.0624,34.0382,255,255,255
47000,3.1572,-0.0663,34.8063,255,255,255
47250,4.0937,-0.0703,35.5902,255,255,255
47500,5.0805,-0.0743,36.3858,255,255,255
47750,6.1166,-0.0782,37.1901,255,255,255
48000,7.2008,-0.0821,38.0001,255,255,255
48250,8.3321,-0.086,38.8129,255,255,255
48500,9.5093,-0.0899,39.6255,255,255,255
48750,10.7313,-0.0938,40.4349,255,255,255
49000,11.9969,-0.0977,41.238,255,255,255
49250,13.3051,-0.1016,42.0321,255,255,255
49500,14.6547,-0.1055,42.814,255,255,255
49750,16.0446,-0.1094,43.5807,255,255,255
50000,17.4737,-0.1134,44.3294,255,255,255
50250,18.9409,-0.1173,45.057,255,255,255
50500,20.444,-0.1213,45.7596,255,255,255
50750,21.9788,-0.1253,46.4335,255,255,255
51000,23.5414,-0.1292,47.0777,255,255,255
51250,25.1279,-0.1331,47.6914,255,255,255
51500,26.7345,-0.1371,48.2738,255,255,255
51750,28.3573,-0.141,48.824,255,255,255
52000,29.9925,-0.1448,49.3411,255,255,255
52250,31.6362,-0.1487,49.8242,255,255,255
52500,33.2846,-0.1526,50.2725,255,255,255
52750,34.9339,-0.1565,50.685,255,255,255
53000,36.5802,-0.1605,51.0611,255,255,255
53250,38.2196,-0.1644,51.3996,255,255,255
53500,39.8483,-0.1683,51.6999,255,255,255
53750,41.4625,-0.1723,51.961,255,255,255
54000,43.0575,-0.1763,52.1831,255,255,255
54250,44.6284,-0.1801,52.3688,255,255,255
54500,46.1725,-0.1839,52.5202,255,255,255
54750,47.6872,-0.1875,52.6393,255,255,255
55000,49.1697,-0.1909,52.7282,255,255,255
55250,50.6174,-0.1943,52.789,255,255,255
55500,52.0276,-0.1975,52.8236,255,255,255
55750,53.3975,-0.2005,52.8342,255,255,255
56000,54.7245,-0.2034,52.8227,255,255,255
56250,56.0059,-0.2062,52.7914,255,255,255
56500,57.239,-0.2088,52.7421,255,255,255
