Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-13.5,3,0,255,255,255
250,-13.5,3,0.0111,255,255,255
500,-13.5,3,0.0529,255,255,255
750,-13.5,3,0.1238,255,255,255
1000,-13.5,3,0.2219,255,255,255
1250,-13.5,3,0.3452,255,255,255
1500,-13.5,3,0.4916,255,255,255
1750,-13.5,3,0.6593,255,255,255
2000,-13.5,3,0.8462,255,255,255
2250,-13.5,3,1.0504,255,255,255
2500,-13.5,3,1.2699,255,255,255
2750,-13.5,3,1.5027,255,255,255
3000,-13.5,3,1.7469,255,255,255
3250,-13.5,3,2.0004,255,255,255
3500,-13.5,3,2.2613,255,255,255
3750,-13.5,3,2.5277,255,255,255
4000,-13.5,3,2.7975,255,255,255
4250,-13.5,3,3.0688,255,255,255
4500,-13.5,3,3.3395,255,255,255
4750,-13.5,3,3.6078,255,255,255
5000,-13.5,3,3.8716,255,255,255
5250,-13.5,3,4.129,255,255,255
5500,-13.5,3,4.378,255,255,255
5750,-13.5,3,4.6166,255,255,255
6000,-13.5,3,4.8429,255,255,255
6250,-13.5,3,5.0548,255,255,255
6500,-13.5,3,5.2504,255,255,255
6750,-13.5,3,5.4277,255,255,255
7000,-13.5,3,5.5847,255,255,255
7250,-13.5,3.0001,5.7167,255,255,255
7500,-13.5,3.0002,5.82,255,255,255
7750,-13.5,3.0003,5.8985,255,255,255
8000,-13.4999,3.0002,5.9566,255,255,255
8250,-13.4999,2.9998,5.9984,255,255,255
8500,-13.4998,2.999,6.0281,255,255,255
8750,-13.4996,2.9975,6.0501,255,255,255
9000,-13.4994,2.9953,6.0684,255,255,255
9250,-13.4992,2.9922,6.0872,255,255,255
9500,-13.4989,2.9881,6.111,255,255,255
9750,-13.4985,2.9828,6.1437,255,255,255
10000,-13.4981,2.9762,6.1897,255,255,255
10250,-13.4976,2.9684,6.2492,255,255,255
10500,-13.497,2.9597,6.3166,255,255,255
10750,-13.4964,2.9501,6.3917,255,255,255
11000,-13.4958,2.9396,6.4742,255,255,255
11250,-13.4951,2.9281,6.5642,255,255,255
11500,-13.4944,2.9159,6.6614,255,255,255
11750,-13.4936,2.9027,6.7656,255,255,255
12000,-13.4928,2.8887,6.8768,255,255,255
12250,-13.4919,2.8738,6.9948,255,255,255
12500,-13.491,2.8581,7.1194,255,255,255
12750,-13.49,2.8416,7.2505,255,255,255
13000,-13.4889,2.8243,7.3879,255,255,255
13250,-13.4878,2.8062,7.5315,255,255,255
13500,-13.4866,2.7872,7.6812,255,255,255
13750,-13.4854,2.7675,7.8368,255,255,255
14000,-13.4841,2.747,7.9981,255,255,255
14250,-13.4827,2.7258,8.1651,255,255,255
14500,-13.4813,2.7038,8.3375,255,255,255
14750,-13.4797,2.681,8.5153,255,255,255
15000,-13.4782,2.6577,8.6983,255,255,255
15250,-13.4766,2.6336,8.8865,255,255,255
15500,-13.475,2.6089,9.0797,255,255,255
15750,-13.4734,2.5836,9.2778,255,255,255
16000,-13.4717,2.5578,9.4806,255,255,255
16250,-13.47,2.5313,9.6879,255,255,255
16500,-13.4683,2.5043,9.8997,255,255,255
16750,-13.4665,2.4767,10.1158,255,255,255
17000,-13.4647,2.4486,10.3361,255,255,255
17250,-13.4629,2.42,10.5603,255,255,255
17500,-13.4611,2.391,10.7885,255,255,255
17750,-13.4592,2.3614,11.0204,255,255,255
18000,-13.4573,2.3314,11.2559,255,255,255
18250,-13.4554,2.301,11.4948,255,255,255
18500,-13.4535,2.2701,11.7371,255,255,255
18750,-13.4516,2.2389,11.9826,255,255,255
19000,-13.4496,2.2073,12.2311,255,255,255
19250,-13.4476,2.1753,12.4825,255,255,255
19500,-13.4456,2.143,12.7366,255,255,255
19750,-13.4436,2.1103,12.9934,255,255,255
20000,-13.4416,2.0774,13.2527,255,255,255
20250,-13.4395,2.0441,13.5143,255,255,255
20500,-13.4375,2.0106,13.7781,255,255,255
20750,-13.4354,1.9769,14.044,255,255,255
21000,-13.4333,1.9429,14.3118,255,255,255
21250,-13.4312,1.9086,14.5814,255,255,255
21500,-13.4291,1.8742,14.8527,255,255,255
21750,-13.427,1.8396,15.1254,255,255,255
22000,-13.4249,1.8049,15.3995,255,255,255
22250,-13.4228,1.77,15.6748,255,255,255
22500,-13.4207,1.735,15.9512,255,255,255
22750,-13.4185,1.6999,16.2286,255,255,255
23000,-13.4164,1.6646,16.5067,255,255,255
23250,-13.4142,1.6294,16.7856,255,255,255
23500,-13.4121,1.594,17.0649,255,255,255
23750,-13.41,1.5586,17.3447,255,255,255
24000,-13.4078,1.5233,17.6246,255,255,255
24250,-13.4057,1.4879,17.9047,255,255,255
24500,-13.4035,1.4525,18.1848,255,255,255
24750,-13.4014,1.4172,18.4647,255,255,255
25000,-13.3993,1.3819,18.7442,255,255,255
25250,-13.3971,1.3467,19.0233,255,255,255
25500,-13.395,1.3116,19.3019,255,255,255
25750,-13.3929,1.2766,19.5796,255,255,255
26000,-13.3908,1.2417,19.8566,255,255,255
26250,-13.3887,1.207,20.1325,255,255,255
26500,-13.3866,1.1724,20.4072,255,255,255
26750,-13.3845,1.1381,20.6807,255,255,255
27000,-13.3825,1.1039,20.9527,255,255,255
27250,-13.3804,1.0699,21.2232,255,255,255
27500,-13.3784,1.0362,21.4919,255,255,255
27750,-13.3763,1.0027,21.7588,255,255,255
28000,-13.3743,0.9695,22.0237,255,255,255
28250,-13.3723,0.9366,22.2865,255,255,255
