Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,10.5,3,0,255,255,255
250,10.5,3,0.0111,255,255,255
500,10.5,3,0.0529,255,255,255
750,10.5,3,0.1238,255,255,255
1000,10.5,3,0.2219,255,255,255
1250,10.5,3,0.3452,255,255,255
1500,10.5,3,0.4916,255,255,255
1750,10.5,3,0.6593,255,255,255
2000,10.5,3,0.8462,255,255,255
2250,10.5,3,1.0504,255,255,255
2500,10.5,3,1.2699,255,255,255
2750,10.5,3,1.5027,255,255,255
3000,10.5,3,1.7469,255,255,255
3250,10.5,3,2.0004,255,255,255
3500,10.5,3,2.2613,255,255,255
3750,10.5,3,2.5277,255,255,255
4000,10.5,3,2.7975,255,255,255
4250,10.5,3,3.0688,255,255,255
4500,10.5,3,3.3395,255,255,255
4750,10.5,3,3.6078,255,255,255
5000,10.5,3,3.8716,255,255,255
5250,10.5,3,4.129,255,255,255
5500,10.5,3,4.378,255,255,255
5750,10.5,3,4.6166,255,255,255
6000,10.5,3,4.8429,255,255,255
6250,10.5,3,5.0548,255,255,255
6500,10.5,3,5.2504,255,255,255
6750,10.5,3,5.4277,255,255,255
7000,10.5,3,5.5847,255,255,255
7250,10.5,3,5.7183,255,255,255
7500,10.5001,2.9999,5.8271,255,255,255
7750,10.5002,2.9996,5.9139,255,255,255
8000,10.5005,2.999,5.9818,255,255,255
8250,10.501,2.9981,6.0338,255,255,255
8500,10.5018,2.9967,6.073,255,255,255
8750,10.5028,2.9948,6.1024,255,255,255
9000,10.5042,2.9923,6.125,255,255,255
9250,10.5059,2.9892,6.1438,255,255,255
9500,10.5081,2.9852,6.1619,255,255,255
9750,10.5108,2.9804,6.1823,255,255,255
10000,10.5139,2.9746,6.208,255,255,255
10250,10.5177,2.9678,6.2421,255,255,255
10500,10.5221,2.9598,6.2875,255,255,255
10750,10.5271,2.9507,6.3473,255,255,255
11000,10.5328,2.9404,6.4204,255,255,255
11250,10.5389,2.9291,6.5001,255,255,255
11500,10.5456,2.9169,6.5862,255,255,255
11750,10.5528,2.9039,6.6786,255,255,255
12000,10.5605,2.8899,6.7772,255,255,255
12250,10.5687,2.8751,6.8817,255,255,255
12500,10.5773,2.8594,6.9922,255,255,255
12750,10.5863,2.8428,7.1085,255,255,255
13000,10.5958,2.8255,7.2304,255,255,255
13250,10.6057,2.8073,7.3579,255,255,255
13500,10.616,2.7884,7.4907,255,255,255
