Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,13.5,-3,0,255,255,255
250,13.5,-3,0.0111,255,255,255
500,13.5,-3,0.0529,255,255,255
750,13.5,-3,0.1238,255,255,255
1000,13.5,-3,0.2219,255,255,255
1250,13.5,-3,0.3452,255,255,255
1500,13.5,-3,0.4916,255,255,255
1750,13.5,-3,0.6593,255,255,255
2000,13.5,-3,0.8462,255,255,255
2250,13.5,-3,1.0504,255,255,255
2500,13.5,-3,1.2699,255,255,255
2750,13.5,-3,1.5027,255,255,255
3000,13.5,-3,1.7469,255,255,255
3250,13.5,-3,2.0004,255,255,255
3500,13.5,-3,2.2613,255,255,255
3750,13.5,-3,2.5277,255,255,255
4000,13.5,-3,2.7975,255,255,255
4250,13.5,-3,3.0688,255,255,255
4500,13.5,-3,3.3395,255,255,255
4750,13.5,-3,3.6078,255,255,255
5000,13.5,-3,3.8716,255,255,255
5250,13.5,-3,4.129,255,255,255
5500,13.5,-3,4.378,255,255,255
5750,13.5,-3,4.6166,255,255,255
6000,13.5,-3,4.8429,255,255,255
6250,13.5,-3,5.0548,255,255,255
6500,13.5,-3,5.2504,255,255,255
6750,13.5,-3,5.4277,255,255,255
7000,13.5,-3,5.5847,255,255,255
7250,13.5,-3.0001,5.715,255,255,255
7500,13.5001,-3.0005,5.8127,255,255,255
7750,13.5003,-3.0009,5.8836,255,255,255
8000,13.5005,-3.0011,5.9335,255,255,255
8250,13.5006,-3.001,5.9686,255,255,255
8500,13.5007,-3.0003,5.9948,255,255,255
8750,13.5006,-2.9988,6.0181,255,255,255
9000,13.5004,-2.9963,6.0444,255,255,255
9250,13.5001,-2.9927,6.0797,255,255,255
9500,13.4996,-2.988,6.128,255,255,255
9750,13.4991,-2.9823,6.1876,255,255,255
10000,13.4987,-2.9757,6.2582,255,255,255
10250,13.4982,-2.9683,6.3398,255,255,255
10500,13.4977,-2.9599,6.432,255,255,255
10750,13.4972,-2.9505,6.5346,255,255,255
11000,13.4966,-2.9402,6.6475,255,255,255
11250,13.4959,-2.9289,6.7703,255,255,255
11500,13.4951,-2.9166,6.903,255,255,255
11750,13.4942,-2.9033,7.0452,255,255,255
12000,13.4932,-2.8891,7.1968,255,255,255
12250,13.4921,-2.8739,7.3577,255,255,255
12500,13.491,-2.858,7.5277,255,255,255
12750,13.4899,-2.8412,7.7065,255,255,255
13000,13.4887,-2.8236,7.8941,255,255,255
13250,13.4875,-2.8052,8.0902,255,255,255
13500,13.4863,-2.7861,8.2946,255,255,255
13750,13.4851,-2.7663,8.5071,255,255,255
14000,13.4838,-2.7457,8.7276,255,255,255
14250,13.4824,-2.7244,8.9558,255,255,255
14500,13.4811,-2.7024,9.1916,255,255,255
14750,13.4797,-2.6797,9.4348,255,255,255
15000,13.4782,-2.6564,9.6851,255,255,255
15250,13.4768,-2.6325,9.9425,255,255,255
15500,13.4753,-2.6079,10.2066,255,255,255
15750,13.4738,-2.5828,10.4774,255,255,255
16000,13.4722,-2.557,10.7546,255,255,255
16250,13.4706,-2.5307,11.038,255,255,255
16500,13.469,-2.5039,11.3274,255,255,255
16750,13.4673,-2.4765,11.6227,255,255,255
17000,13.4657,-2.4486,11.9237,255,255,255
17250,13.464,-2.4203,12.2302,255,255,255
17500,13.4622,-2.3914,12.5419,255,255,255
17750,13.4605,-2.3621,12.8587,255,255,255
18000,13.4587,-2.3324,13.1804,255,255,255
18250,13.4568,-2.3022,13.5068,255,255,255
18500,13.455,-2.2717,13.8378,255,255,255
18750,13.4531,-2.2407,14.1731,255,255,255
19000,13.4512,-2.2094,14.5125,255,255,255
19250,13.4493,-2.1777,14.8559,255,255,255
19500,13.4473,-2.1458,15.203,255,255,255
19750,13.4453,-2.1135,15.5537,255,255,255
20000,13.4433,-2.0809,15.9079,255,255,255
20250,13.441,-2.0479,16.2652,255,255,255
20500,13.4386,-2.0148,16.6257,255,255,255
20750,13.436,-1.9813,16.989,255,255,255
21000,13.4332,-1.9476,17.355,255,255,255
21250,13.4303,-1.9136,17.7235,255,255,255
21500,13.4273,-1.8795,18.0943,255,255,255
21750,13.4241,-1.8451,18.4672,255,255,255
22000,13.4207,-1.8106,18.842,255,255,255
22250,13.4173,-1.7759,19.2186,255,255,255
22500,13.4137,-1.7411,19.5966,255,255,255
22750,13.41,-1.7061,19.976,255,255,255
23000,13.4062,-1.671,20.3565,255,255,255
23250,13.4023,-1.6359,20.738,255,255,255
23500,13.3984,-1.6006,21.1202,255,255,255
23750,13.3943,-1.5654,21.503,255,255,255
24000,13.3902,-1.53,21.8861,255,255,255
24250,13.3861,-1.4947,22.2694,255,255,255
24500,13.3818,-1.4593,22.6527,255,255,255
24750,13.3776,-1.424,23.0357,255,255,255
25000,13.3732,-1.3887,23.4184,255,255,255
25250,13.3689,-1.3534,23.8004,255,255,255
25500,13.3645,-1.3183,24.1817,255,255,255
25750,13.3602,-1.2832,24.5619,255,255,255
26000,13.3558,-1.2482,24.941,255,255,255
26250,13.3514,-1.2133,25.3187,255,255,255
26500,13.347,-1.1786,25.6949,255,255,255
26750,13.3426,-1.144,26.0692,255,255,255
27000,13.3383,-1.1096,26.4416,255,255,255
27250,13.3339,-1.0754,26.8119,255,255,255
27500,13.3297,-1.0414,27.1798,255,255,255
27750,13.3254,-1.0076,27.5452,255,255,255
28000,13.3213,-0.9741,27.9079,255,255,255
28250,13.3171,-0.9408,28.2676,255,255,255
