Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,0,-3,0,255,255,255
250,0,-3,0.0253,255,255,255
500,0,-3,0.1185,255,255,255
750,0,-3,0.273,255,255,255
1000,0,-3,0.4814,255,255,255
1250,0,-3,0.7361,255,255,255
1500,0,-3,1.0295,255,255,255
1750,0,-3,1.3543,255,255,255
2000,0,-3,1.7027,255,255,255
2250,0,-3,2.0673,255,255,255
2500,0,-3,2.4405,255,255,255
2750,0,-3,2.8148,255,255,255
3000,0,-3,3.1827,255,255,255
3250,0,-3,3.5367,255,255,255
3500,0,-3,3.8691,255,255,255
3750,0,-3,4.1725,255,255,255
4000,0,-3,4.4393,255,255,255
4250,0,-3.0001,4.6566,255,255,255
4500,0,-3,4.8178,255,255,255
4750,0,-2.9991,4.9343,255,255,255
5000,0,-2.9969,5.0183,255,255,255
5250,0,-2.9927,5.0816,255,255,255
5500,0,-2.9859,5.136,255,255,255
5750,0,-2.9759,5.1936,255,255,255
6000,0,-2.962,5.2662,255,255,255
6250,0,-2.9438,5.3657,255,255,255
6500,0,-2.9205,5.5041,255,255,255
6750,0,-2.8922,5.6826,255,255,255
7000,0,-2.86,5.886,255,255,255
7250,0,-2.824,6.113,255,255,255
7500,0,-2.7846,6.3625,255,255,255
7750,0,-2.7418,6.6333,255,255,255
8000,0,-2.6958,6.9244,255,255,255
8250,0,-2.6467,7.2347,255,255,255
8500,0,-2.5948,7.5632,255,255,255
8750,0,-2.5403,7.9088,255,255,255
9000,0,-2.4832,8.2703,255,255,255
9250,0,-2.4238,8.6468,255,255,255
9500,0,-2.3623,9.0372,255,255,255
9750,0,-2.2987,9.4403,255,255,255
10000,0,-2.2334,9.8551,255,255,255
10250,0,-2.1664,10.2806,255,255,255
10500,0,-2.0979,10.7156,255,255,255
10750,0,-2.028,11.1593,255,255,255
11000,0,-1.9569,11.6106,255,255,255
11250,0,-1.8848,12.0685,255,255,255
11500,0,-1.8118,12.5318,255,255,255
11750,0,-1.738,12.9995,255,255,255
12000,0,-1.6637,13.4706,255,255,255
12250,0,-1.589,13.944,255,255,255
12500,0,-1.5141,14.4187,255,255,255
12750,0,-1.4392,14.8935,255,255,255
