Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,7.5,-3,0,255,255,255
250,7.5,-3,0.0111,255,255,255
500,7.5,-3,0.0529,255,255,255
750,7.5,-3,0.1238,255,255,255
1000,7.5,-3,0.2219,255,255,255
1250,7.5,-3,0.3452,255,255,255
1500,7.5,-3,0.4916,255,255,255
1750,7.5,-3,0.6593,255,255,255
2000,7.5,-3,0.8462,255,255,255
2250,7.5,-3,1.0504,255,255,255
2500,7.5,-3,1.2699,255,255,255
2750,7.5,-3,1.5027,255,255,255
3000,7.5,-3,1.7469,255,255,255
3250,7.5,-3,2.0004,255,255,255
3500,7.5,-3,2.2613,255,255,255
3750,7.5,-3,2.5277,255,255,255
4000,7.5,-3,2.7975,255,255,255
4250,7.5,-3,3.0687,255,255,255
4500,7.5,-3,3.3394,255,255,255
4750,7.5,-3,3.6077,255,255,255
5000,7.5,-3,3.8715,255,255,255
5250,7.5,-3,4.1289,255,255,255
5500,7.5,-3,4.3778,255,255,255
5750,7.5,-3,4.6164,255,255,255
6000,7.5,-3,4.8425,255,255,255
6250,7.5,-3,5.0544,255,255,255
6500,7.5,-3,5.2499,255,255,255
6750,7.5,-3,5.4272,255,255,255
7000,7.5,-3.0001,5.579,255,255,255
7250,7.4999,-3.0005,5.698,255,255,255
7500,7.4998,-3.001,5.7894,255,255,255
7750,7.4998,-3.0015,5.8582,255,255,255
8000,7.4997,-3.0016,5.91,255,255,255
8250,7.4998,-3.0014,5.9499,255,255,255
8500,7.5,-3.0006,5.9833,255,255,255
8750,7.5004,-2.9989,6.0154,255,255,255
9000,7.501,-2.9964,6.0515,255,255,255
9250,7.5018,-2.9927,6.0971,255,255,255
9500,7.5029,-2.9879,6.1561,255,255,255
9750,7.5043,-2.9823,6.2287,255,255,255
10000,7.506,-2.9756,6.3147,255,255,255
10250,7.5079,-2.9681,6.4138,255,255,255
10500,7.51,-2.9596,6.5258,255,255,255
10750,7.5123,-2.9502,6.6504,255,255,255
11000,7.5149,-2.9399,6.7874,255,255,255
11250,7.5176,-2.9285,6.9366,255,255,255
11500,7.5205,-2.9162,7.0978,255,255,255
11750,7.5236,-2.9029,7.2706,255,255,255
12000,7.5269,-2.8887,7.4551,255,255,255
12250,7.5304,-2.8737,7.6508,255,255,255
12500,7.5341,-2.8579,7.8576,255,255,255
12750,7.5381,-2.8412,8.0752,255,255,255
13000,7.5422,-2.8238,8.3035,255,255,255
13250,7.5465,-2.8056,8.5421,255,255,255
13500,7.5511,-2.7866,8.7909,255,255,255
13750,7.5558,-2.7668,9.0496,255,255,255
14000,7.5608,-2.7464,9.318,255,255,255
14250,7.5659,-2.7252,9.5958,255,255,255
14500,7.5711,-2.7033,9.8828,255,255,255
14750,7.5766,-2.6808,10.1787,255,255,255
15000,7.5822,-2.6575,10.4835,255,255,255
15250,7.588,-2.6337,10.7967,255,255,255
15500,7.594,-2.6092,11.1182,255,255,255
15750,7.6001,-2.5841,11.4477,255,255,255
16000,7.6064,-2.5584,11.7851,255,255,255
16250,7.6128,-2.5321,12.13,255,255,255
16500,7.6193,-2.5052,12.4823,255,255,255
16750,7.626,-2.4779,12.8416,255,255,255
17000,7.6329,-2.4499,13.2078,255,255,255
17250,7.6398,-2.4215,13.5807,255,255,255
17500,7.6469,-2.3926,13.96,255,255,255
17750,7.6541,-2.3632,14.3454,255,255,255
18000,7.6615,-2.3333,14.7368,255,255,255
18250,7.6689,-2.303,15.1339,255,255,255
18500,7.6765,-2.2723,15.5364,255,255,255
18750,7.6841,-2.2412,15.9442,255,255,255
19000,7.6919,-2.2096,16.357,255,255,255
19250,7.6997,-2.1777,16.7746,255,255,255
19500,7.7077,-2.1455,17.1967,255,255,255
19750,7.7157,-2.1129,17.6231,255,255,255
20000,7.7238,-2.0799,18.0536,255,255,255
20250,7.7319,-2.0467,18.488,255,255,255
20500,7.7402,-2.0133,18.9261,255,255,255
20750,7.7484,-1.9795,19.3676,255,255,255
21000,7.7568,-1.9456,19.8123,255,255,255
21250,7.7651,-1.9114,20.26,255,255,255
21500,7.7736,-1.877,20.7103,255,255,255
21750,7.782,-1.8424,21.1632,255,255,255
22000,7.7905,-1.8076,21.6184,255,255,255
22250,7.7991,-1.7727,22.0756,255,255,255
22500,7.8076,-1.7377,22.5346,255,255,255
22750,7.8162,-1.7026,22.9951,255,255,255
23000,7.8248,-1.6673,23.457,255,255,255
23250,7.8334,-1.632,23.92,255,255,255
23500,7.8421,-1.5966,24.3839,255,255,255
23750,7.8507,-1.5612,24.8484,255,255,255
24000,7.8594,-1.5257,25.3134,255,255,255
24250,7.868,-1.4903,25.7785,255,255,255
24500,7.8766,-1.4548,26.2435,255,255,255
24750,7.8853,-1.4194,26.7083,255,255,255
25000,7.8939,-1.384,27.1726,255,255,255
25250,7.9025,-1.3486,27.6361,255,255,255
25500,7.911,-1.3134,28.0986,255,255,255
25750,7.9196,-1.2782,28.56,255,255,255
26000,7.9281,-1.2432,29.0198,255,255,255
26250,7.9366,-1.2082,29.478,255,255,255
26500,7.945,-1.1735,29.9343,255,255,255
26750,7.9534,-1.1389,30.3885,255,255,255
27000,7.9617,-1.1044,30.8403,255,255,255
27250,7.97,-1.0702,31.2895,255,255,255
27500,7.9783,-1.0362,31.7358,255,255,255
27750,7.9865,-1.0024,32.1791,255,255,255
28000,7.9946,-0.9689,32.6191,255,255,255
28250,8.0026,-0.9356,33.0556,255,255,255
28500,8.0106,-0.9027,33.4882,255,255,255
28750,8.0185,-0.87,33.9169,255,255,255
29000,8.0263,-0.8377,34.3414,255,255,255
29250,8.034,-0.8057,34.7614,255,255,255
29500,8.0417,-0.774,35.1768,255,255,255
29750,8.0492,-0.7428,35.5872,255,255,255
30000,8.0567,-0.7119,35.9924,255,255,255
30250,8.064,-0.6814,36.3923,255,255,255
30500,8.0713,-0.6514,36.7865,255,255,255
30750,8.0784,-0.6218,37.1749,255,255,255
31000,8.0854,-0.5927,37.5573,255,255,255
31250,8.0923,-0.564,37.9333,255,255,255
31500,8.0991,-0.5359,38.3027,255,255,255
31750,8.1058,-0.5082,38.6654,255,255,255
32000,8.1123,-0.4811,39.0211,255,255,255
32250,8.1186,-0.4546,39.3695,255,255,255
32500,8.1249,-0.4286,39.7105,255,255,255
32750,8.131,-0.4032,40.0438,255,255,255
33000,8.137,-0.3784,40.3691,255,255,255
33250,8.1428,-0.3542,40.6864,255,255,255
33500,8.1485,-0.3306,40.9953,255,255,255
33750,8.1541,-0.3076,41.2956,255,255,255
34000,8.1595,-0.2853,41.5871,255,255,255
34250,8.1648,-0.2637,41.8695,255,255,255
34500,8.1699,-0.2428,42.1427,255,255,255
34750,8.1748,-0.2226,42.4063,255,255,255
35000,8.1796,-0.2032,42.6601,255,255,255
35250,8.1842,-0.1845,42.9039,255,255,255
35500,8.1885,-0.1667,43.1374,255,255,255
35750,8.1927,-0.1496,43.3605,255,255,255
36000,8.1966,-0.1334,43.5728,255,255,255
36250,8.2003,-0.1181,43.7742,255,255,255
36500,8.2037,-0.1037,43.9643,255,255,255
36750,8.2069,-0.0901,44.143,255,255,255
37000,8.2099,-0.0775,44.31,255,255,255
37250,8.2126,-0.0659,44.4651,255,255,255
37500,8.2118,-0.0551,44.6088,255,255,255
37750,8.2038,-0.0452,44.7419,255,255,255
38000,8.1918,-0.036,44.8633,255,255,255
38250,8.1794,-0.0278,44.972,255,255,255
38500,8.1703,-0.0206,45.0671,255,255,255
38750,8.1679,-0.0143,45.1476,255,255,255
39000,8.1757,-0.0092,45.2123,255,255,255
39250,8.1974,-0.0052,45.2604,255,255,255
39500,8.2365,-0.0024,45.2907,255,255,255
39750,8.3146,-0.0006,45.3012,255,255,255
40000,8.4655,0.0004,45.2896,255,255,255
40250,8.6874,0.0008,45.2563,255,255,255
40500,8.9778,0.0006,45.2016,255,255,255
40750,9.3341,-0.0001,45.1262,255,255,255
41000,9.7539,-0.0013,45.0303,255,255,255
41250,10.2346,-0.0028,44.9145,255,255,255
41500,10.7738,-0.0045,44.7792,255,255,255
41750,11.3688,-0.0064,44.6248,255,255,255
42000,12.0171,-0.0085,44.4518,255,255,255
42250,12.7163,-0.0106,44.2607,255,255,255
42500,13.4639,-0.0127,44.0518,255,255,255
42750,14.2568,-0.0147,43.8232,255,255,255
43000,15.0914,-0.0169,43.5706,255,255,255
43250,15.9639,-0.0192,43.2942,255,255,255
43500,16.8706,-0.0217,42.9944,255,255,255
43750,17.8078,-0.0243,42.6713,255,255,255
44000,18.772,-0.027,42.3253,255,255,255
44250,19.7593,-0.0298,41.9566,255,255,255
44500,20.7662,-0.0327,41.5656,255,255,255
44750,21.7889,-0.0357,41.1524,255,255,255
45000,22.8238,-0.0388,40.7174,255,255,255
45250,23.8672,-0.042,40.2609,255,255,255
45500,24.9154,-0.0452,39.7831,255,255,255
45750,25.9647,-0.0485,39.2842,255,255,255
46000,27.0115,-0.052,38.7647,255,255,255
46250,28.0521,-0.0554,38.2247,255,255,255
46500,29.0822,-0.0589,37.6654,255,255,255
46750,30.0983,-0.0625,37.09,255,255,255
47000,31.0982,-0.0662,36.5011,255,255,255
47250,32.0799,-0.07,35.9014,255,255,255
47500,33.0414,-0.0738,35.2933,255,255,255
47750,33.9805,-0.0776,34.6795,255,255,255
48000,34.8954,-0.0815,34.0626,255,255,255
48250,35.7839,-0.0854,33.4452,255,255,255
48500,36.644,-0.0894,32.8299,255,255,255
48750,37.4736,-0.0933,32.2193,255,255,255
49000,38.2708,-0.0973,31.616,255,255,255
49250,39.0334,-0.1013,31.0225,255,255,255
49500,39.76,-0.1053,30.4425,255,255,255
49750,40.4514,-0.1093,29.8796,255,255,255
50000,41.1084,-0.1133,29.336,255,255,255
50250,41.7323,-0.1173,28.8133,255,255,255
50500,42.3239,-0.1213,28.3135,255,255,255
50750,42.8843,-0.1253,27.8385,255,255,255
51000,43.4146,-0.1293,27.3901,255,255,255
51250,43.9157,-0.1333,26.9703,255,255,255
51500,44.3887,-0.1373,26.5808,255,255,255
51750,44.8346,-0.1413,26.2236,255,255,255
52000,45.2544,-0.1453,25.9006,255,255,255
52250,45.6491,-0.1493,25.6136,255,255,255
52500,46.0208,-0.1533,25.3643,255,255,255
52750,46.3726,-0.1573,25.1529,255,255,255
53000,46.7061,-0.1612,24.9779,255,255,255
53250,47.0227,-0.1651,24.8382,255,255,255
53500,47.3238,-0.1689,24.7326,255,255,255
53750,47.611,-0.1727,24.6597,255,255,255
54000,47.8856,-0.1763,24.6183,255,255,255
54250,48.1492,-0.1799,24.6072,255,255,255
54500,48.4032,-0.1835,24.6252,255,255,255
54750,48.6491,-0.1869,24.6709,255,255,255
55000,48.8883,-0.1902,24.7432,255,255,255
55250,49.1223,-0.1934,24.8407,255,255,255
55500,49.3526,-0.1965,24.9623,255,255,255
55750,49.5804,-0.1995,25.1057,255,255,255
56000,49.8059,-0.2024,25.2672,255,255,255
