Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,13.5,3,0,255,255,255
250,13.5,3,0.0111,255,255,255
500,13.5,3,0.0529,255,255,255
750,13.5,3,0.1238,255,255,255
1000,13.5,3,0.2219,255,255,255
1250,13.5,3,0.3452,255,255,255
1500,13.5,3,0.4916,255,255,255
1750,13.5,3,0.6593,255,255,255
2000,13.5,3,0.8462,255,255,255
2250,13.5,3,1.0504,255,255,255
2500,13.5,3,1.2699,255,255,255
2750,13.5,3,1.5027,255,255,255
3000,13.5,3,1.7469,255,255,255
3250,13.5,3,2.0004,255,255,255
3500,13.5,3,2.2613,255,255,255
3750,13.5,3,2.5277,255,255,255
4000,13.5,3,2.7975,255,255,255
4250,13.5,3,3.0688,255,255,255
4500,13.5,3,3.3395,255,255,255
4750,13.5,3,3.6078,255,255,255
5000,13.5,3,3.8716,255,255,255
5250,13.5,3,4.129,255,255,255
5500,13.5,3,4.378,255,255,255
5750,13.5,3,4.6166,255,255,255
6000,13.5,3,4.8429,255,255,255
6250,13.5,3,5.0548,255,255,255
6500,13.5,3,5.2504,255,255,255
6750,13.5,3,5.4277,255,255,255
7000,13.5,3,5.5847,255,255,255
7250,13.5,3.0001,5.7152,255,255,255
7500,13.5,3.0005,5.8132,255,255,255
7750,13.4999,3.0009,5.8844,255,255,255
8000,13.4999,3.0011,5.9343,255,255,255
8250,13.5,3.001,5.9687,255,255,255
8500,13.5001,3.0003,5.9933,255,255,255
8750,13.5002,2.9988,6.0138,255,255,255
9000,13.5005,2.9963,6.0357,255,255,255
9250,13.5009,2.9927,6.065,255,255,255
9500,13.5015,2.9879,6.105,255,255,255
9750,13.5023,2.9822,6.1541,255,255,255
10000,13.5032,2.9754,6.2123,255,255,255
10250,13.5043,2.9678,6.2793,255,255,255
10500,13.5056,2.9592,6.3549,255,255,255
10750,13.507,2.9497,6.439,255,255,255
11000,13.5085,2.9393,6.5315,255,255,255
11250,13.5102,2.9279,6.6322,255,255,255
11500,13.5119,2.9157,6.741,255,255,255
11750,13.5138,2.9025,6.8577,255,255,255
12000,13.5157,2.8885,6.9821,255,255,255
12250,13.5177,2.8736,7.1141,255,255,255
12500,13.5197,2.8578,7.2535,255,255,255
12750,13.5219,2.8412,7.4003,255,255,255
13000,13.5242,2.8238,7.5542,255,255,255
13250,13.5266,2.8057,7.7151,255,255,255
13500,13.5291,2.7867,7.8828,255,255,255
13750,13.5318,2.7671,8.0573,255,255,255
14000,13.5346,2.7467,8.2382,255,255,255
14250,13.5374,2.7255,8.4255,255,255,255
14500,13.5404,2.7037,8.619,255,255,255
14750,13.5435,2.6812,8.8186,255,255,255
15000,13.5467,2.658,9.0241,255,255,255
15250,13.55,2.6342,9.2353,255,255,255
15500,13.5534,2.6098,9.4521,255,255,255
15750,13.5569,2.5847,9.6744,255,255,255
16000,13.5605,2.559,9.9019,255,255,255
16250,13.5642,2.5328,10.1346,255,255,255
16500,13.568,2.506,10.3722,255,255,255
16750,13.5718,2.4786,10.6146,255,255,255
17000,13.5758,2.4508,10.8616,255,255,255
17250,13.5798,2.4224,11.1132,255,255,255
17500,13.5839,2.3935,11.3691,255,255,255
17750,13.5881,2.3641,11.6292,255,255,255
18000,13.5923,2.3343,11.8933,255,255,255
18250,13.5967,2.304,12.1612,255,255,255
18500,13.6011,2.2733,12.4329,255,255,255
18750,13.6055,2.2421,12.7082,255,255,255
19000,13.61,2.2106,12.9868,255,255,255
19250,13.6146,2.1787,13.2687,255,255,255
19500,13.6193,2.1464,13.5537,255,255,255
19750,13.624,2.1138,13.8416,255,255,255
20000,13.6287,2.0809,14.1323,255,255,255
20250,13.6335,2.0476,14.4257,255,255,255
20500,13.6384,2.0141,14.7214,255,255,255
20750,13.6433,1.9802,15.0195,255,255,255
21000,13.6482,1.9461,15.3198,255,255,255
21250,13.6532,1.9118,15.622,255,255,255
21500,13.6582,1.8772,15.9261,255,255,255
21750,13.6632,1.8425,16.2319,255,255,255
22000,13.6683,1.8076,16.5392,255,255,255
22250,13.6734,1.7725,16.8479,255,255,255
22500,13.6785,1.7373,17.1577,255,255,255
22750,13.6836,1.702,17.4687,255,255,255
23000,13.6887,1.6666,17.7805,255,255,255
23250,13.6939,1.6312,18.0931,255,255,255
23500,13.699,1.5956,18.4062,255,255,255
23750,13.7042,1.56,18.7198,255,255,255
24000,13.7093,1.5245,19.0337,255,255,255
24250,13.7145,1.4889,19.3476,255,255,255
24500,13.7197,1.4533,19.6616,255,255,255
24750,13.7248,1.4177,19.9753,255,255,255
25000,13.7299,1.3822,20.2887,255,255,255
25250,13.7351,1.3468,20.6015,255,255,255
25500,13.7402,1.3114,20.9137,255,255,255
25750,13.7453,1.2761,21.2251,255,255,255
26000,13.7503,1.241,21.5355,255,255,255
26250,13.7554,1.206,21.8448,255,255,255
26500,13.7604,1.1712,22.1527,255,255,255
26750,13.7653,1.1365,22.4592,255,255,255
27000,13.7703,1.102,22.7641,255,255,255
27250,13.7752,1.0677,23.0673,255,255,255
27500,13.78,1.0337,23.3685,255,255,255
27750,13.7849,0.9999,23.6676,255,255,255
28000,13.7896,0.9663,23.9645,255,255,255
28250,13.7943,0.9331,24.259,255,255,255
28500,13.799,0.9001,24.551,255,255,255
28750,13.8036,0.8675,24.8402,255,255,255
29000,13.8082,0.8352,25.1266,255,255,255
29250,13.8127,0.8032,25.41,255,255,255
29500,13.8171,0.7716,25.6902,255,255,255
