idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,-7.5,0.0,0.0,9.747891665435175e-21,-2.345842436762339e-93,0.017974594246339348,-1.1697469998522212e-19,2.8150109241148067e-92,-0.5084951309560722,0,70,255.0,255.0,255.0
1,0.05,-7.5,-8.44503277234442e-95,0.00026468539286821644,4.4840301661001795e-21,-1.0790875209106757e-93,-0.007355686646683905,-9.357975998817769e-20,2.2520087392918453e-92,-0.5047161047648578,0,70,255.0,255.0,255.0
2,0.1,-7.5,-1.1260043696459225e-94,-0.0007324194761757119,3.8991566661740524e-22,-9.383369747049337e-95,-0.03249701623014644,-7.018481999113327e-20,1.689006554468884e-92,-0.5009370785736433,0,70,255.0,255.0,255.0
3,0.15000000000000002,-7.5,-9.852538234401824e-95,-0.002981867041653749,-2.5344518330131472e-21,6.099190335582084e-94,-0.05744939450404825,-4.678987999408884e-20,1.1260043696459225e-92,-0.49715805238242894,0,70,255.0,255.0,255.0
4,0.2,-7.5,-5.630021848229603e-95,-0.006474209738087858,-4.2890723327914795e-21,1.0321706721754292e-93,-0.08221282146838933,-2.3394939997044414e-20,5.630021848229611e-93,-0.4933790261912145,0,70,255.0,255.0,255.0
5,0.25,-7.5,0.0,-0.0112,-4.873945832717588e-21,1.1729212183811695e-93,-0.10678729712316967,0.0,0.0,-0.4895999999999998,0,70,255.0,255.0,255.0
6,0.30000000000000004,-7.5,5.630021848229618e-95,-0.01714979026191215,-4.2890723327914765e-21,1.0321706721754288e-93,-0.13117282146838932,2.3394939997044444e-20,-5.630021848229618e-93,-0.4858209738087854,0,70,255.0,255.0,255.0
7,0.35000000000000003,-7.5,9.852538234401826e-95,-0.024314132958346255,-2.534451833013144e-21,6.099190335582078e-94,-0.15536939450404824,4.6789879994088864e-20,-1.126004369645923e-92,-0.4820419476175711,0,70,255.0,255.0,255.0
8,0.4,-7.5,1.1260043696459226e-94,-0.032683580523824286,3.89915666617409e-22,-9.38336974704938e-95,-0.1793770162301464,7.018481999113328e-20,-1.6890065544688842e-92,-0.4782629214263567,0,70,255.0,255.0,255.0
9,0.45,-7.5,8.445032772344418e-95,-0.04224868539286821,4.484030166100183e-21,-1.0790875209106765e-93,-0.20319568664668392,9.35797599881777e-20,-2.2520087392918456e-92,-0.47448389523514234,0,70,255.0,255.0,255.0
10,0.5,-7.5,0.0,-0.053,9.747891665435175e-21,-2.345842436762339e-93,-0.22682540575366067,1.1697469998522212e-19,-2.8150109241148064e-92,-0.4707048690439266,0,70,255.0,255.0,255.0
11,0.55,-7.5,-1.4075054620574045e-94,-0.06492632434521964,1.267225916506573e-20,-3.0495951677910403e-93,-0.2501610274797589,-9.62964972193618e-35,2.7250942976052165e-107,-0.4627199999999996,0,70,255.0,255.0,255.0
12,0.6000000000000001,-7.5,-2.8150109241148085e-94,-0.0780094486904393,9.747891665435166e-21,-2.345842436762336e-93,-0.27309740575366065,-1.169746999852223e-19,2.8150109241148118e-92,-0.45473513095607254,0,70,255.0,255.0,255.0
13,0.65,-7.5,-3.5187636551435083e-94,-0.0922294108630491,9.747891665435142e-22,-2.3458424367623279e-94,-0.2956345405753661,-2.3394939997044424e-19,5.6300218482296155e-92,-0.4467502619121455,0,70,255.0,255.0,255.0
