idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,1.5,0.0,0.0,-5.597418574213262e-19,-6.910071769078773e-92,0.019030436778708193,6.716902289055914e-18,8.292086122894528e-91,-0.5155652413444983,0,70,255.0,255.0,255.0
1,0.05,1.5,-2.487625836868358e-93,0.00030909572403349495,-2.5748125441381e-19,-3.178633013776236e-92,-0.006625999081794231,5.373521831244731e-18,6.633668898315622e-91,-0.5106921930755987,0,70,255.0,255.0,255.0
2,0.1,1.5,-3.3168344491578106e-93,-0.000658539034622007,-2.2389674296853037e-20,-2.7640287076315105e-93,-0.03203878252885167,4.030141373433548e-18,4.975251673736716e-91,-0.505819144806699,0,70,255.0,255.0,255.0
3,0.15000000000000002,1.5,-2.9022301430130846e-93,-0.002890721655294257,1.455328829295448e-19,1.796618659960481e-92,-0.05720791356246414,2.6867609156223652e-18,3.3168344491578107e-91,-0.5009460965377992,0,70,255.0,255.0,255.0
4,0.2,1.5,-1.6584172245789034e-93,-0.006375269517311004,2.462864172653835e-19,3.040431578394659e-92,-0.08213339218263159,1.3433804578111822e-18,1.6584172245789053e-91,-0.49607304826889953,0,70,255.0,255.0,255.0
5,0.25,1.5,0.0,-0.0111,2.798709287106631e-19,3.4550358845393866e-92,-0.1068152183893541,0.0,0.0,-0.4912000000000001,0,70,255.0,255.0,255.0
6,0.30000000000000004,1.5,1.658417224578907e-93,-0.017052730482689002,2.462864172653835e-19,3.0404315783946595e-92,-0.13125339218263163,-1.343380457811184e-18,-1.658417224578907e-91,-0.48632695173110047,0,70,255.0,255.0,255.0
7,0.35000000000000003,1.5,2.902230143013085e-93,-0.02422127834470575,1.4553288292954472e-19,1.79661865996048e-92,-0.15544791356246415,-2.6867609156223668e-18,-3.3168344491578123e-91,-0.48145390346220085,0,70,255.0,255.0,255.0
8,0.4,1.5,3.3168344491578115e-93,-0.032593460965378,-2.2389674296853133e-20,-2.7640287076315207e-93,-0.1793987825288517,-4.030141373433549e-18,-4.975251673736717e-91,-0.4765808551933012,0,70,255.0,255.0,255.0
9,0.45,1.5,2.487625836868358e-93,-0.042157095724033505,-2.5748125441381017e-19,-3.178633013776237e-92,-0.20310599908179428,-5.373521831244732e-18,-6.633668898315622e-91,-0.47170780692440156,0,70,255.0,255.0,255.0
10,0.5,1.5,0.0,-0.0529,-5.597418574213262e-19,-6.910071769078773e-92,-0.22656956322129185,-6.716902289055915e-18,-8.292086122894527e-91,-0.4668347586555024,0,70,255.0,255.0,255.0
11,0.55,1.5,-4.146043061447268e-93,-0.06480937379327753,-7.276644146477241e-19,-8.983093299802403e-92,-0.24975243218767942,6.162975822039155e-33,7.630264033294606e-106,-0.4604799999999999,0,70,255.0,255.0,255.0
12,0.6000000000000001,1.5,-8.292086122894535e-93,-0.07786994758655505,-5.597418574213255e-19,-6.910071769078766e-92,-0.2726175632212919,6.716902289055927e-18,8.292086122894542e-91,-0.45412524134449744,0,70,255.0,255.0,255.0
13,0.65,1.5,-1.0365107653618158e-92,-0.09206583448319379,-5.597418574213259e-20,-6.910071769078754e-93,-0.2951649563221292,1.3433804578111835e-17,1.658417224578906e-90,-0.44777048268899494,0,70,255.0,255.0,255.0
14,0.7000000000000001,1.5,-8.292086122894521e-93,-0.10738114758655504,7.836386003898582e-19,9.674100476710302e-92,-0.3173946114901913,2.0150706867167755e-17,2.4876258368683595e-90,-0.44141572403349244,0,70,255.0,255.0,255.0
15,0.75,1.5,0.0,-0.1238,1.959096500974642e-18,2.4185251191775705e-91,-0.3393065287254784,2.686760915622366e-17,3.3168344491578115e-90,-0.43506096537799177,0,70,255.0,255.0,255.0
16,0.8,1.5,1.4925755021210164e-92,-0.14130657434420096,2.664371241325513e-18,3.2891941620814964e-91,-0.36090487906665075,1.3433804578111607e-18,1.6584172245788814e-91,-0.42887304826890027,0,70,255.0,255.0,255.0
17,0.8500000000000001,1.5,3.0266114348565057e-92,-0.1598853313090742,2.093434546755758e-18,2.584366841635459e-91,-0.38219383355236847,-2.418084824060134e-17,-2.9851510042420353e-90,-0.42268513115980877,0,70,255.0,255.0,255.0
18,0.9,1.5,3.814359616531484e-92,-0.1795208011018469,2.462864172653834e-19,3.040431578394655e-92,-0.40317339218263154,-4.970507693901379e-17,-6.136143730941952e-90,-0.41649721405071727,0,70,255.0,255.0,255.0
19,0.9500000000000001,1.5,3.068071865470973e-92,-0.20019751392974644,-2.877073147145623e-18,-3.551776889306496e-91,-0.4238435549574402,-7.522930563742629e-17,-9.287136457641875e-90,-0.41030929694162577,0,70,255.0,255.0,255.0
