idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,-4.5,3.0,0.0,-2.8296073122665753e-21,3.555799232053913e-20,0.017974594246339348,3.3955287747198905e-20,-4.266959078464695e-19,-0.5084951309560722,0,70,255.0,255.0,255.0
1,0.05,-4.5,3.0,0.00026468539286821644,-1.3016193636426246e-21,1.6356676467448e-20,-0.007355686646683905,2.716423019775912e-20,-3.413567262771756e-19,-0.5047161047648578,0,70,255.0,255.0,255.0
2,0.1,-4.5,3.0,-0.0007324194761757119,-1.1318429249066314e-22,1.4223196928215695e-21,-0.03249701623014644,2.0373172648319344e-20,-2.560175447078817e-19,-0.5009370785736433,0,70,255.0,255.0,255.0
3,0.15000000000000002,-4.5,3.0,-0.002981867041653749,7.356979011893103e-22,-9.245078003340178e-21,-0.05744939450404825,1.3582115098879558e-20,-1.7067836313858776e-19,-0.49715805238242894,0,70,255.0,255.0,255.0
4,0.2,-4.5,3.0,-0.006474209738087858,1.245027217397293e-21,-1.5645516621037204e-20,-0.08221282146838933,6.791057549439782e-21,-8.53391815692939e-20,-0.4933790261912145,0,70,255.0,255.0,255.0
5,0.25,-4.5,3.0,-0.0112,1.4148036561332877e-21,-1.7778996160269564e-20,-0.10678729712316967,0.0,0.0,-0.4895999999999998,0,70,255.0,255.0,255.0
6,0.30000000000000004,-4.5,3.0,-0.01714979026191215,1.2450272173972928e-21,-1.5645516621037213e-20,-0.13117282146838932,-6.791057549439787e-21,8.533918156929398e-20,-0.4858209738087854,0,70,255.0,255.0,255.0
7,0.35000000000000003,-4.5,3.0,-0.024314132958346255,7.356979011893091e-22,-9.245078003340169e-21,-0.15536939450404824,-1.3582115098879568e-20,1.7067836313858786e-19,-0.4820419476175711,0,70,255.0,255.0,255.0
8,0.4,-4.5,3.0,-0.032683580523824286,-1.1318429249066343e-22,1.4223196928215695e-21,-0.1793770162301464,-2.0373172648319347e-20,2.5601754470788176e-19,-0.4782629214263567,0,70,255.0,255.0,255.0
9,0.45,-4.5,3.0,-0.04224868539286821,-1.3016193636426252e-21,1.6356676467448007e-20,-0.20319568664668392,-2.716423019775912e-20,3.413567262771756e-19,-0.47448389523514234,0,70,255.0,255.0,255.0
10,0.5,-4.5,3.0,-0.053,-2.8296073122665753e-21,3.555799232053913e-20,-0.22682540575366067,-3.3955287747198905e-20,4.2669590784646957e-19,-0.4707048690439266,0,70,255.0,255.0,255.0
11,0.55,-4.5,3.0,-0.06492632434521964,-3.678489505946548e-21,4.622539001670086e-20,-0.2501610274797589,3.009265538105056e-35,-3.851859888774472e-34,-0.4627199999999996,0,70,255.0,255.0,255.0
12,0.6000000000000001,-4.5,3.0,-0.0780094486904393,-2.8296073122665727e-21,3.5557992320539087e-20,-0.27309740575366065,3.3955287747198965e-20,-4.2669590784647034e-19,-0.45473513095607254,0,70,255.0,255.0,255.0
13,0.65,-4.5,3.0,-0.0922294108630491,-2.8296073122665584e-22,3.5557992320538726e-21,-0.2956345405753661,6.791057549439782e-20,-8.533918156929394e-19,-0.4467502619121455,0,70,255.0,255.0,255.0
14,0.7000000000000001,-4.5,3.0,-0.10756624869043929,3.961450237173212e-21,-4.978118924875489e-20,-0.3177724319448752,1.0186586324159676e-19,-1.2800877235394095e-18,-0.4387653928682185,0,70,255.0,255.0,255.0
15,0.75,-4.5,3.0,-0.124,9.903625592933013e-21,-1.2445297312188696e-19,-0.3395110798621879,1.3582115098879562e-19,-1.706783631385878e-18,-0.43078052382429144,0,70,255.0,255.0,255.0
16,0.8,-4.5,3.0,-0.1415121123572093,1.3468930806388897e-20,-1.6925604344576627e-19,-0.3609350686125756,6.791057549439656e-21,-8.533918156929236e-20,-0.4261790261912144,0,70,255.0,255.0,255.0
17,0.8500000000000001,-4.5,3.0,-0.16008967227989668,1.058273134787698e-20,-1.329868912788162e-19,-0.3821289824813094,-1.222390358899163e-19,1.5361052682472934e-18,-0.42157752855813735,0,70,255.0,255.0,255.0
18,0.9,-4.5,3.0,-0.17972117602397936,1.2450272173972911e-21,-1.5645516621037174e-20,-0.4030928214683893,-2.5126912932927194e-19,3.1575497180638756e-18,-0.4169760309250603,0,70,255.0,255.0,255.0
19,0.9500000000000001,-4.5,3.0,-0.20039511984537475,-1.454418158505022e-20,1.8276808052757152e-19,-0.4238265855738154,-3.8029922276862795e-19,4.778994167880461e-18,-0.41237453329198326,0,70,255.0,255.0,255.0
20,1.0,-4.5,3.0,-0.2221,-3.678489505946548e-20,4.622539001670087e-19,-0.44433027479758763,-5.093293162079836e-19,6.400438617697045e-18,-0.4077730356589071,0,70,255.0,255.0,255.0
21,1.05,-4.5,3.0,-0.24482282622594312,-5.0197233719609045e-20,6.307987837663642e-19,-0.46451469806993884,-2.716423019775872e-20,3.4135672627717022e-19,-0.39960389523514184,0,70,255.0,255.0,255.0
22,1.1,-4.5,3.0,-0.26854466218997414,-3.9501318079241354e-20,4.963895727947258e-19,-0.48429066432110185,4.550008558124661e-19,-5.717725165142704e-18,-0.39143475481137663,0,70,255.0,255.0,255.0
23,1.1500000000000001,-4.5,3.0,-0.2932450850410336,-4.69714813836239e-21,5.902626725209326e-20,-0.5036581735510766,9.371659418226909e-19,-1.1776807056562576e-17,-0.38326561438761136,0,70,255.0,255.0,255.0
24,1.2000000000000002,-4.5,3.0,-0.31890367192806196,5.421527610302781e-20,-6.812911328615331e-19,-0.522617225759863,1.4193310278329159e-18,-1.7835888947982453e-17,-0.3750964739638461,0,70,255.0,255.0,255.0
25,1.25,-4.5,3.0,-0.3455,1.372359546449289e-19,-1.724562627546148e-18,-0.5411678209474611,1.901496113843138e-18,-2.3894970839402296e-17,-0.366927333540076,0,70,255.0,255.0,255.0
26,1.3,-4.5,3.0,-0.37301498273901823,1.8732000407204726e-19,-2.3539390916196907e-18,-0.5593901391076684,1.018658632415946e-19,-1.2800877235393905e-18,-0.3619653928682176,0,70,255.0,255.0,255.0
27,1.35,-4.5,3.0,-0.401434878960207,1.4742254096908838e-19,-1.852571399900087e-18,-0.577364360234283,-1.6977643873599487e-18,2.1334795392323515e-17,-0.3570034521963592,0,70,255.0,255.0,255.0
28,1.4000000000000001,-4.5,3.0,-0.43074728381188665,1.754356533605228e-20,-2.2045955238733697e-19,-0.5950904843273044,-3.497394637961492e-18,4.3949678508186424e-17,-0.3520415115245008,0,70,255.0,255.0,255.0
29,1.4500000000000002,-4.5,3.0,-0.4609397924423776,-2.023169228270611e-19,2.542396450918559e-18,-0.612568511386733,-5.297024888563035e-18,6.656456162404933e-17,-0.3470795708526424,0,70,255.0,255.0,255.0
30,1.5,-4.5,3.0,-0.492,-5.121589235202501e-19,6.435996610017583e-18,-0.6297984414125685,-7.096655139164569e-18,8.917944473991213e-17,-0.34211763018077956,0,70,255.0,255.0,255.0
31,1.55,-4.5,3.0,-0.5239148428179841,-6.9908278256858e-19,8.784957582712398e-18,-0.6467407454993876,-3.802992227686211e-19,4.7789941678803754e-18,-0.33557453329198433,0,70,255.0,255.0,255.0
32,1.6,-4.5,3.0,-0.5566686219691981,-5.501888457971122e-19,6.913896026805623e-18,-0.6633558947417669,6.336056693627327e-18,-7.962145640415138e-17,-0.3290314364031891,0,70,255.0,255.0,255.0
33,1.6500000000000001,-4.5,3.0,-0.5902449797114202,-6.547711320584687e-20,8.228119422972548e-19,-0.6796438891397065,1.3052412610023276e-17,-1.6402190697618315e-16,-0.3224883395143939,0,70,255.0,255.0,255.0
34,1.7000000000000002,-4.5,3.0,-0.6246275583024282,7.550524152052165e-19,-9.488294670812701e-18,-0.6956047286932063,1.9768768526419223e-17,-2.484223575482149e-16,-0.31594524262559864,0,70,255.0,255.0,255.0
35,1.75,-4.5,3.0,-0.6598,1.9113997394360715e-18,-2.4019423812524184e-17,-0.7112384134022662,2.6485124442815142e-17,-3.328228081202462e-16,-0.30940214573679903,0,70,255.0,255.0,255.0
36,1.8,-4.5,3.0,-0.6957456459890456,2.609011126202273e-18,-3.27858912392299e-17,-0.7265268788947822,1.419331027832888e-18,-1.7835888947982108e-17,-0.3021364739638404,0,70,255.0,255.0,255.0
37,1.85,-4.5,3.0,-0.7324466331630008,2.0533328422193608e-18,-2.580301270732239e-17,-0.7414520607986502,-2.3646462387149366e-17,2.97151030224282e-16,-0.29487080219088174,0,70,255.0,255.0,255.0
38,1.9000000000000001,-4.5,3.0,-0.7698847973424332,2.443648874873338e-19,-3.0707882168016784e-18,-0.7560139591138704,-4.871225580213161e-17,6.12137949396546e-16,-0.2876051304179231,0,70,255.0,255.0,255.0
39,1.9500000000000002,-4.5,3.0,-0.8080419743479105,-2.817892737993806e-18,3.541078223233227e-17,-0.7702125738404426,-7.377804921711387e-17,9.271248685688102e-16,-0.2803394586449645,0,70,255.0,255.0,255.0
40,2.0,-4.5,3.0,-0.8469,-7.133440034224035e-18,8.964169864007915e-17,-0.7840479049783668,-9.884384263209601e-17,1.2421117877410732e-15,-0.27307378687200945,0,70,255.0,255.0,255.0
41,2.0500000000000003,-4.5,3.0,-0.8864417732258338,-9.736961722240513e-18,1.2235860737420721e-16,-0.7975837389214833,-5.2970248885625385e-18,6.656456162404314e-17,-0.26835957085264145,0,70,255.0,255.0,255.0
42,2.1,-4.5,3.0,-0.9266544453787989,-7.66314252308033e-18,9.629815480248399e-17,-0.8108838620636311,8.82497928549701e-17,-1.1089826644929763e-15,-0.2636453548332735,0,70,255.0,255.0,255.0
43,2.15,-4.5,3.0,-0.9675262309188472,-9.11982436743533e-19,1.1460340924909958e-17,-0.8239482744048104,1.8179661059850271e-16,-2.284529890609996e-15,-0.25893113881390556,0,70,255.0,255.0,255.0
44,2.2,-4.5,3.0,-1.0090453443059306,1.0516518536770001e-17,-1.321548342585163e-16,-0.8367769759450215,2.7534342834203617e-16,-3.4600771167270257e-15,-0.25421692279453756,0,70,255.0,255.0,255.0
45,2.25,-4.5,3.0,-1.0512,2.6622360397460072e-17,-3.3454737074779243e-16,-0.8493699666842642,3.6889024608556887e-16,-4.635624342844046e-15,-0.24950270677516606,0,70,255.0,255.0,255.0
46,2.3000000000000003,-4.5,3.0,-1.09397686110762,3.6338835762759775e-17,-4.56648538257599e-16,-0.8616341654192834,1.9768768526417343e-17,-2.484223575481917e-16,-0.2410652426255982,0,70,255.0,255.0,255.0
47,2.35,-4.5,3.0,-1.1373563853218038,2.859923725010196e-17,-3.5938960650261365e-16,-0.8734764909468241,-3.293527090327311e-16,4.138779627747623e-15,-0.2326277784760304,0,70,255.0,255.0,255.0
48,2.4000000000000004,-4.5,3.0,-1.1813174789821779,3.4035648594864834e-18,-4.2770575482834345e-17,-0.8848969432668864,-6.784741865918825e-16,8.525981613043478e-15,-0.22419031432646253,0,70,255.0,255.0,255.0
49,2.45,-4.5,3.0,-1.2258390484283677,-3.924818140908622e-17,4.932085548017329e-16,-0.8958955223794703,-1.027595664151031e-15,1.2913183598339291e-14,-0.21575285017689472,0,70,255.0,255.0,255.0
50,2.5,-4.5,3.0,-1.2709,-9.935600155561625e-17,1.2485477843510905e-15,-0.9064722282845757,-1.3767171417101796e-15,1.7300385583635105e-14,-0.20731538602732247,0,70,255.0,255.0,255.0
51,2.5500000000000003,-4.5,3.0,-1.316481182343687,-1.3561838132879862e-16,1.7042355456561886e-15,-0.9167435994013831,-7.377804921710697e-17,9.271248685687198e-16,-0.20353945864496745,0,70,255.0,255.0,255.0
52,2.6,-4.5,3.0,-1.3625712133339862,-1.0673380647732752e-16,1.3412602712079699e-15,-0.9268261741490725,1.2291610432759542e-15,-1.544613584649752e-14,-0.19976353126261248,0,70,255.0,255.0,255.0
53,2.6500000000000004,-4.5,3.0,-1.4091606531524423,-1.2702277001202533e-17,1.5962196100642762e-16,-0.9367199525276444,2.5321001357690264e-15,-3.1819396561563906e-14,-0.19598760388025746,0,70,255.0,255.0,255.0
54,2.7,-4.5,3.0000000000000004,-1.4562400619805986,1.464762070995748e-16,-1.8406793849484163e-15,-0.9464249345370982,3.835039228262088e-15,-4.8192657276630146e-14,-0.1922116764979025,0,70,255.0,255.0,255.0
55,2.75,-4.5,3.0,-1.5038,3.708016458250049e-16,-4.6596437666565695e-15,-0.9559411201774345,5.13797832075515e-15,-6.45659179916964e-14,-0.18843574911554395,0,70,255.0,255.0,255.0
56,2.8000000000000003,-4.5,2.9999999999999996,-1.5518288095176327,5.061346895524347e-16,-6.360293644367156e-15,-0.9651354369751864,2.7534342834201122e-16,-3.4600771167267106e-15,-0.17933692279453103,0,70,255.0,255.0,255.0
57,2.85,-4.5,2.999999999999999,-1.6003059613422512,3.9833598865920824e-16,-5.005651478329267e-15,-0.9738748124568877,-4.587291464071085e-15,5.764576375824245e-14,-0.1702380964735182,0,70,255.0,255.0,255.0
58,2.9000000000000004,-4.5,2.999999999999999,-1.6492087084080542,4.740554314532365e-17,-5.957172685428791e-16,-0.9821592466225383,-9.449926356484224e-15,1.1875160463321215e-13,-0.1611392701525053,0,70,255.0,255.0,255.0
59,2.95,-4.5,2.9999999999999996,-1.6985143036492376,-5.466566469892129e-16,6.869508984991931e-15,-0.9899887394721382,-1.431256124889732e-14,1.798574455081813e-13,-0.15204044383149246,0,70,255.0,255.0,255.0
60,3.0,-4.5,3.0,-1.7482,-1.3838505817444035e-15,1.739002728227519e-14,-0.9973632910056873,-1.9175196141310418e-14,2.4096328638315057e-13,-0.14294161751047518,0,70,255.0,255.0,255.0
61,3.0500000000000003,-4.5,3.0000000000000013,-1.7982451795857837,-1.88892037688094e-15,2.373693903181244e-14,-1.0044106526978716,-1.0275956641509328e-15,1.2913183598338154e-14,-0.13895285017688755,0,70,255.0,255.0,255.0
62,3.1,-4.5,3.000000000000002,-1.8486377412970094,-1.486610148159505e-15,1.8681345642109105e-14,-1.011258576023376,1.712000481300839e-14,-2.1513691918647224e-13,-0.13496408284329994,0,70,255.0,255.0,255.0
63,3.1500000000000004,-4.5,3.0000000000000027,-1.8993677132153433,-1.7691989558009098e-16,2.2232471131650927e-15,-1.0179070609822014,3.5267605290167874e-14,-4.431870219712847e-13,-0.1309753155097123,0,70,255.0,255.0,255.0
64,3.2,-4.499999999999999,3.000000000000002,-1.9504251234224514,2.040150380857277e-15,-2.5637356555019297e-14,-1.0243561075743475,5.34152057673272e-14,-6.71237124756095e-13,-0.1269865481761247,0,70,255.0,255.0,255.0
65,3.25,-4.5,3.0,-2.0018,5.164600681152609e-15,-6.490046536244419e-14,-1.0306057157998139,7.156280624448651e-14,-8.992872275409057e-13,-0.1229977808425371,0,70,255.0,255.0,255.0
66,3.3000000000000003,-4.5,2.999999999999996,-2.0534808721392337,7.049546817971325e-15,-8.85874624828826e-14,-1.0365659522333253,3.835039228261727e-15,-4.819265727662549e-14,-0.11541167649791464,0,70,255.0,255.0,255.0
67,3.35,-4.499999999999999,2.9999999999999916,-2.105450273469712,5.548104603978812e-15,-6.971973109010713e-14,-1.0421468834496053,-6.389272778796248e-14,8.02901912987647e-13,-0.10782557215329226,0,70,255.0,255.0,255.0
68,3.4000000000000004,-4.499999999999999,2.99999999999999,-2.157689238730574,6.602740391750424e-16,-8.297271184117427e-15,-1.0473485094486543,-1.3162049480418725e-13,1.6539964832519271e-12,-0.1002394678086698,0,70,255.0,255.0,255.0
69,3.45,-4.499999999999999,2.9999999999999916,-2.210178802660957,-7.613944876439894e-15,9.567991723508536e-14,-1.0521708302304724,-1.9934826182041146e-13,2.5050910535161998e-12,-0.09265336346404741,0,70,255.0,255.0,255.0
70,3.5,-4.5,3.0,-2.2629,-1.9274552142866033e-14,2.422118341675016e-13,-1.0566138457950593,-2.670760288366357e-13,3.3561856237804724e-12,-0.08506725911943036,0,70,255.0,255.0,255.0
71,3.5500000000000003,-4.500000000000001,3.0000000000000147,-2.315834531857283,-2.6309266895004358e-14,3.30612910899718e-13,-1.0607175383688323,-1.431256124889597e-14,1.7985744550816385e-13,-0.07908044383148219,0,70,255.0,255.0,255.0
72,3.6,-4.500000000000003,3.0000000000000306,-2.3689667648241435,-2.0705808267755744e-14,2.601975787183195e-13,-1.0645218901782076,2.384509063388415e-13,-2.9964707327641164e-12,-0.07309362854353409,0,70,255.0,255.0,255.0
73,3.6500000000000004,-4.500000000000003,3.0000000000000386,-2.4222817318623635,-2.4641762611200803e-15,3.096583762330478e-14,-1.0680269012231858,4.912143739265813e-13,-6.1727989110364246e-12,-0.06710681325558591,0,70,255.0,255.0,255.0
74,3.7,-4.500000000000002,3.0000000000000306,-2.475764465933722,2.8415629124902308e-14,-3.5708231238532204e-13,-1.071232571503766,7.439778415143187e-13,-9.349127089308706e-12,-0.06111999796763781,0,70,255.0,255.0,255.0
75,3.75,-4.5,3.0,-2.5294,7.193360789031153e-14,-9.039468713075622e-13,-1.0741389010199494,9.967413091020563e-13,-1.2525455267580983e-11,-0.055133182679686144,0,70,255.0,255.0,255.0
76,3.8000000000000003,-4.499999999999996,2.999999999999944,-2.5831730004316373,9.818752076204612e-14,-1.2338641811159894e-12,-1.0767238942913446,5.341520576732219e-14,-6.71237124756032e-13,-0.04826654817612233,0,70,255.0,255.0,255.0
77,3.85,-4.499999999999991,2.9999999999998863,-2.637066667233715,7.727512846704417e-14,-9.710705837831707e-13,-1.0789655558375615,-8.899108975674035e-13,1.1182981018068813e-11,-0.04139991367255859,0,70,255.0,255.0,255.0
78,3.9000000000000004,-4.4999999999999885,2.999999999999857,-2.691063833819974,9.196431005305304e-15,-1.1556607930910192e-13,-1.0808638856586006,-1.8332370009021377e-12,2.3037199160893764e-11,-0.03453327916899478,0,70,255.0,255.0,255.0
79,3.95,-4.499999999999991,2.999999999999885,-2.745147333604155,-1.0604857162316932e-13,1.3326493323062024e-12,-1.082418883754461,-2.7765631042368633e-12,3.489141730371861e-11,-0.027666644665431027,0,70,255.0,255.0,255.0
80,4.0,-4.5,3.0,-2.7993,-2.6845987941838007e-13,3.373575651062747e-12,-1.0836305501251435,-3.719889207571588e-12,4.674563544654345e-11,-0.02080001016187083,0,70,255.0,255.0,255.0
81,4.05,-4.500000000000016,3.0000000000002087,-2.853505466416169,-3.6644081615318003e-13,4.604843813564237e-12,-1.0845468844657917,-1.9934826182042323e-13,2.5050910535163524e-12,-0.01585336346406125,0,70,255.0,255.0,255.0
82,4.1000000000000005,-4.500000000000034,3.0000000000004237,-2.907750566240998,-2.883947056004194e-13,3.624084756414344e-12,-1.0852158864715495,3.321192683930804e-12,-4.1735453339511534e-11,-0.010906716766251582,0,70,255.0,255.0,255.0
83,4.15,-4.500000000000042,3.000000000000534,-2.9620229328577423,-3.432154776010091e-14,4.312984796131018e-13,-1.085637556142417,6.841733629681969e-12,-8.597599773253863e-11,-0.005960070068442002,0,70,255.0,255.0,255.0
84,4.2,-4.500000000000034,3.0000000000004294,-3.0163101996496584,3.9577865736777505e-13,-4.9735150168394876e-12,-1.0858118934783938,1.0362274575433135e-11,-1.3021654212556573e-10,-0.00101342337063242,0,70,255.0,255.0,255.0
85,4.25,-4.5,3.0,-3.0706,1.0019059097832087e-12,-1.2590355732943426e-11,-1.0857388984794802,1.3882815521184297e-11,-1.7445708651859284e-10,0.003933223327173607,0,70,255.0,255.0,255.0
86,4.3,-4.499999999999938,2.999999999999221,-3.1248787339036883,1.367575743850674e-12,-1.7185511073140962e-11,-1.0853445678454914,7.439778415143638e-13,-9.349127089309287e-12,0.011840002032380397,0,70,255.0,255.0,255.0
87,4.3500000000000005,-4.499999999999874,2.999999999998419,-3.179127867802295,1.076303693934634e-12,-1.3525268441874212e-11,-1.0845548982762423,-1.2394859838155802e-11,1.5575883233997721e-10,0.019746780737587327,0,70,255.0,255.0,255.0
88,4.4,-4.499999999999841,2.9999999999980065,-3.2333276347490587,1.2808976003509869e-13,-1.6096278391433044e-12,-1.0833698897717325,-2.5533697517825736e-11,3.2086679176926077e-10,0.02765355944279412,0,70,255.0,255.0,255.0
89,4.45,-4.499999999999871,2.9999999999983955,-3.287458267797214,-1.4770660578479306e-12,1.8561410735051754e-11,-1.0817895423319628,-3.867253519749567e-11,4.859747511985443e-10,0.03556033814800091,0,70,255.0,255.0,255.0
90,4.5,-4.5,3.0,-3.3415,-3.7391637597144545e-12,4.6987847280710955e-11,-1.0798138559569324,-5.18113728771656e-11,6.51082710627828e-10,0.04346711685321303,0,70,255.0,255.0,255.0
91,4.55,-4.500000000000231,3.0000000000029066,-3.3954339979690795,-5.1038621592495155e-12,6.413720047899961e-11,-1.077498844152238,-2.7765631042370314e-12,3.489141730372082e-11,0.04913335533456083,0,70,255.0,255.0,255.0
92,4.6000000000000005,-4.50000000000047,3.0000000000059006,-3.449245162549823,-4.0168200701381166e-12,5.047698901108252e-11,-1.0749005204234763,4.6258246668692406e-11,-5.812998760203973e-10,0.05479959381590872,0,70,255.0,255.0,255.0
93,4.65,-4.5000000000005915,3.0000000000074407,-3.5029193281460262,-4.780374923802941e-13,6.007212876960116e-12,-1.072018884770647,9.529305644162097e-11,-1.1974911693445047e-09,0.06046583229725652,0,70,255.0,255.0,255.0
94,4.7,-4.500000000000477,3.000000000005987,-3.556442329161486,5.5124855740239494e-12,-6.92721279233675e-11,-1.0688539371937507,1.4432786621454956e-10,-1.8136824626686117e-09,0.06613207077860432,0,70,255.0,255.0,255.0
95,4.75,-4.5,3.0,-3.6098,1.395474912907461e-11,-1.753610333899004e-10,-1.0654056776927865,1.933626759874781e-10,-2.4298737559927184e-09,0.0717983092599539,0,70,255.0,255.0,255.0
96,4.800000000000001,-4.499999999999137,2.999999999989153,-3.6629780742199944,1.9047872893147398e-11,-2.3936329084285756e-10,-1.0616680555455538,1.0362274575430505e-11,-1.302165421255327e-10,0.07770657662935188,0,70,255.0,255.0,255.0
97,4.8500000000000005,-4.499999999998248,2.99999999997798,-3.715961881998415,1.499097658661783e-11,-1.8838268760245578e-10,-1.0576350200298512,-1.7263812683661383e-10,2.1694406717416116e-09,0.08361484399874974,0,70,255.0,255.0,255.0
98,4.9,-4.49999999999779,2.999999999972231,-3.768736652666838,1.7840602094860722e-12,-2.2419223668697133e-11,-1.0533065711456788,-3.556385282486582e-10,4.469097885608756e-09,0.08952311136814761,0,70,255.0,255.0,255.0
99,4.95,-4.499999999998222,2.9999999999776543,-3.821287615556841,-2.0572876238247855e-11,2.5852710095841834e-10,-1.0486827088930366,-5.386389296607024e-10,6.768755099475902e-09,0.09543137873754548,0,70,255.0,255.0,255.0
100,5.0,-4.5,3.0,-3.8736,-5.207983275658398e-11,6.544562862788906e-10,-1.0437634332719246,-7.216393310727469e-10,9.068412313343045e-09,0.10133964610693802,0,70,255.0,255.0,255.0
101,5.050000000000001,-4.500000000003222,3.0000000000404823,-3.9256585051509463,-7.108762941334006e-11,8.933159628924305e-10,-1.0385169336655506,-3.8672535197486014e-11,4.859747511984205e-10,0.10852033814801178,0,70,255.0,255.0,255.0
102,5.1000000000000005,-4.50000000000654,3.000000000082179,-3.9774457094565214,-5.5947086276333225e-11,7.030537613987408e-10,-1.0329113994571233,6.442942606777629e-10,-8.096462810946048e-09,0.11570103018908541,0,70,255.0,255.0,255.0
