idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,13.5,-3.0,0.0,-5.831417708741814e-20,-6.50393869586383e-20,0.019030436776039605,6.997701250490177e-19,7.804726435036596e-19,-0.5155652413124753,0,70,255.0,255.0,255.0
1,0.05,13.5,-3.0,0.0003090957239374257,-2.682452146021234e-20,-2.991811800097362e-20,-0.006625999083021784,5.598161000392142e-19,6.243781148029276e-19,-0.5106921930499801,0,70,255.0,255.0,255.0
2,0.1,13.5,-3.0,-0.0006585390347500995,-2.3325670834967233e-21,-2.6015754783455325e-21,-0.03203878252895842,4.198620750294106e-19,4.682835861021957e-19,-0.5058191447874851,0,70,255.0,255.0,255.0
3,0.15000000000000002,13.5,-3.0,-0.0028907216554063375,1.5161686042728722e-20,1.6910240609245973e-20,-0.0572079135617703,2.7990805001960703e-19,3.121890574014637e-19,-0.50094609652499,0,70,255.0,255.0,255.0
4,0.2,13.5,-3.0,-0.006375269517375051,2.5658237918463974e-20,2.8617330261800846e-20,-0.08213339218145743,1.3995402500980352e-19,1.5609452870073186e-19,-0.49607304826249493,0,70,255.0,255.0,255.0
5,0.25,13.5,-3.0,-0.0111,2.915708854370907e-20,3.251969347931915e-20,-0.1068152183880198,0.0,0.0,-0.49119999999999986,0,70,255.0,255.0,255.0
6,0.30000000000000004,13.5,-3.0,-0.017052730482624956,2.5658237918463974e-20,2.8617330261800846e-20,-0.13125339218145746,-1.3995402500980366e-19,-1.5609452870073205e-19,-0.48632695173750495,0,70,255.0,255.0,255.0
7,0.35000000000000003,13.5,-3.0,-0.02422127834459367,1.5161686042728704e-20,1.691024060924595e-20,-0.15544791356177032,-2.799080500196072e-19,-3.1218905740146395e-19,-0.4814539034750101,0,70,255.0,255.0,255.0
8,0.4,13.5,-3.0,-0.032593460965249905,-2.3325670834967353e-21,-2.6015754783455385e-21,-0.17939878252895844,-4.1986207502941065e-19,-4.682835861021959e-19,-0.4765808552125152,0,70,255.0,255.0,255.0
9,0.45,13.5,-3.0,-0.04215709572393743,-2.6824521460212363e-20,-2.991811800097363e-20,-0.20310599908302182,-5.598161000392142e-19,-6.243781148029277e-19,-0.47170780695002035,0,70,255.0,255.0,255.0
10,0.5,13.5,-3.0,-0.0529,-5.831417708741814e-20,-6.50393869586383e-20,-0.22656956322396044,-6.997701250490176e-19,-7.804726435036597e-19,-0.4668347586875261,0,70,255.0,255.0,255.0
11,0.55,13.5,-3.0,-0.06480937379343764,-7.580843021364358e-20,-8.455120304622981e-20,-0.24975243219114862,6.7407548053553255e-34,5.7777898331617076e-34,-0.46048000000000017,0,70,255.0,255.0,255.0
12,0.6000000000000001,13.5,-3.0,-0.07786994758687528,-5.831417708741808e-20,-6.503938695863824e-20,-0.27261756322396047,6.997701250490189e-19,7.804726435036608e-19,-0.4541252413124742,0,70,255.0,255.0,255.0
13,0.65,13.5,-3.0,-0.09206583448359407,-5.831417708741793e-21,-6.503938695863831e-21,-0.29516495632239603,1.3995402500980354e-18,1.5609452870073195e-18,-0.44777048262494834,0,70,255.0,255.0,255.0
14,0.7000000000000001,13.5,-3.0,-0.10738114758687527,8.163984792238554e-20,9.105514174209378e-20,-0.3173946114864553,2.099310375147054e-18,2.34141793051098e-18,-0.4414157239374224,0,70,255.0,255.0,255.0
15,0.75,13.5,-3.0,-0.1238,2.0409961980596348e-19,2.2763785435523407e-19,-0.3393065287161383,2.7990805001960707e-18,3.121890574014639e-18,-0.4350609652498987,0,70,255.0,255.0,255.0
16,0.8,13.5,-3.0,-0.14130657434362454,2.775754829361103e-19,3.0958748192311837e-19,-0.3609048790539482,1.3995402500980092e-19,1.5609452870072983e-19,-0.42887304826249545,0,70,255.0,255.0,255.0
17,0.8500000000000001,13.5,-3.0,-0.15988533130790536,2.180950223069436e-19,2.4324730722530707e-19,-0.3821938335423879,-2.519172450176469e-18,-2.8097015166131794e-18,-0.42268513127509216,0,70,255.0,255.0,255.0
18,0.9,13.5,-3.0,-0.17952080110037383,2.5658237918463842e-20,2.861733026180081e-20,-0.40317339218145737,-5.178298925362733e-18,-5.775497561927083e-18,-0.41649721428768893,0,70,255.0,255.0,255.0
