idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,-4.5,-3.0,0.0,-2.565043819316382e-18,-1.8559283032017736e-18,0.018783751262842874,3.0780525831796585e-17,2.2271139638421284e-17,-0.5126050151541145,0,70,255.0,255.0,255.0
1,0.05,-4.5,-3.0,0.0003002150454623434,-1.1799201568855357e-18,-8.537270194728157e-19,-0.006739474419092278,2.4624420665437268e-17,1.781691171073703e-17,-0.5083240121232916,0,70,255.0,255.0,255.0
2,0.1,-4.5,-3.0,-0.0006703799393835423,-1.0260175277265527e-19,-7.423713212807072e-20,-0.03204864994948628,1.846831549907795e-17,1.336268378305277e-17,-0.5040430090924687,0,70,255.0,255.0,255.0
3,0.15000000000000002,-4.5,-3.0,-0.0029010824469606,6.669113930222599e-19,4.825413588324617e-19,-0.057143775328339155,1.2312210332718631e-17,8.908455855368511e-18,-0.4997620060616457,0,70,255.0,255.0,255.0
4,0.2,-4.5,-3.0,-0.006381189969691772,1.1286192804992082e-18,8.166084534087807e-19,-0.08202485055565086,6.156105166359317e-18,4.454227927684256e-18,-0.49548100303082276,0,70,255.0,255.0,255.0
5,0.25,-4.5,-3.0,-0.0111,1.282521909658191e-18,9.279641516008868e-19,-0.10669187563142143,0.0,0.0,-0.4912000000000003,0,70,255.0,255.0,255.0
6,0.30000000000000004,-4.5,-3.0,-0.017046810030308234,1.1286192804992078e-18,8.166084534087802e-19,-0.1311448505556509,-6.156105166359322e-18,-4.454227927684261e-18,-0.4869189969691773,0,70,255.0,255.0,255.0
7,0.35000000000000003,-4.5,-3.0,-0.024210917553039408,6.669113930222589e-19,4.825413588324608e-19,-0.1553837753283392,-1.2312210332718639e-17,-8.908455855368517e-18,-0.4826379939383543,0,70,255.0,255.0,255.0
8,0.4,-4.5,-3.0,-0.03258162006061646,-1.0260175277265566e-19,-7.42371321280712e-20,-0.1794086499494863,-1.8468315499077954e-17,-1.3362683783052773e-17,-0.4783569909075313,0,70,255.0,255.0,255.0
9,0.45,-4.5,-3.0,-0.042148215045462345,-1.1799201568855363e-18,-8.537270194728162e-19,-0.20321947441909233,-2.4624420665437268e-17,-1.781691171073703e-17,-0.47407598787670835,0,70,255.0,255.0,255.0
10,0.5,-4.5,-3.0,-0.0529,-2.565043819316382e-18,-1.8559283032017736e-18,-0.22681624873715717,-3.078052583179659e-17,-2.227113963842128e-17,-0.469794984845886,0,70,255.0,255.0,255.0
11,0.55,-4.5,-3.0,-0.06482497492422944,-3.334556965111297e-18,-2.4127067941623055e-18,-0.25012112335830433,2.465190328815662e-32,2.1570415377137042e-32,-0.46239999999999987,0,70,255.0,255.0,255.0
12,0.6000000000000001,-4.5,-3.0,-0.07790594984845889,-2.56504381931638e-18,-1.855928303201772e-18,-0.2730562487371572,3.078052583179664e-17,2.2271139638421324e-17,-0.45500501515411373,0,70,255.0,255.0,255.0
