idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,1.5,3.0,0.0,-4.571084685289917e-21,-1.9877396196400516e-20,0.017974594246339348,5.4853016223479e-20,2.385287543568062e-19,-0.5084951309560722,0,70,255.0,255.0,255.0
1,0.05,1.5,3.0,0.00026468539286821644,-2.1026989552333618e-21,-9.143602250344235e-21,-0.007355686646683905,4.3882412978783196e-20,1.9082300348544497e-19,-0.5047161047648578,0,70,255.0,255.0,255.0
2,0.1,1.5,3.0,-0.0007324194761757119,-1.8284338741159663e-22,-7.950958478560171e-22,-0.03249701623014644,3.2911809734087394e-20,1.4311725261408372e-19,-0.5009370785736433,0,70,255.0,255.0,255.0
3,0.15000000000000002,1.5,3.0,-0.002981867041653749,1.188482018175379e-21,5.1681230110641374e-21,-0.05744939450404825,2.1941206489391592e-20,9.541150174272247e-20,-0.49715805238242894,0,70,255.0,255.0,255.0
4,0.2,1.5,3.0,-0.006474209738087858,2.0112772615275633e-21,8.746054326416232e-21,-0.08221282146838933,1.0970603244695796e-20,4.7705750871361224e-20,-0.4933790261912145,0,70,255.0,255.0,255.0
5,0.25,1.5,3.0,-0.0112,2.2855423426449584e-21,9.938698098200258e-21,-0.10678729712316967,0.0,0.0,-0.4895999999999998,0,70,255.0,255.0,255.0
6,0.30000000000000004,1.5,3.0,-0.01714979026191215,2.011277261527563e-21,8.746054326416226e-21,-0.13117282146838932,-1.097060324469581e-20,-4.7705750871361284e-20,-0.4858209738087854,0,70,255.0,255.0,255.0
7,0.35000000000000003,1.5,3.0,-0.024314132958346255,1.1884820181753777e-21,5.168123011064131e-21,-0.15536939450404824,-2.1941206489391607e-20,-9.541150174272252e-20,-0.4820419476175711,0,70,255.0,255.0,255.0
8,0.4,1.5,3.0,-0.032683580523824286,-1.8284338741159738e-22,-7.950958478560246e-22,-0.1793770162301464,-3.2911809734087406e-20,-1.4311725261408374e-19,-0.4782629214263567,0,70,255.0,255.0,255.0
9,0.45,1.5,3.0,-0.04224868539286821,-2.102698955233362e-21,-9.143602250344242e-21,-0.20319568664668392,-4.38824129787832e-20,-1.90823003485445e-19,-0.47448389523514234,0,70,255.0,255.0,255.0
10,0.5,1.5,3.0,-0.053,-4.571084685289917e-21,-1.9877396196400516e-20,-0.22682540575366067,-5.485301622347899e-20,-2.385287543568062e-19,-0.4707048690439266,0,70,255.0,255.0,255.0
11,0.55,1.5,3.0,-0.06492632434521964,-5.942410090876891e-21,-2.5840615055320675e-20,-0.2501610274797589,4.81482486096809e-35,1.925929944387236e-34,-0.4627199999999996,0,70,255.0,255.0,255.0
12,0.6000000000000001,1.5,3.0,-0.0780094486904393,-4.5710846852899115e-21,-1.9877396196400498e-20,-0.27309740575366065,5.485301622347908e-20,2.385287543568066e-19,-0.45473513095607254,0,70,255.0,255.0,255.0
13,0.65,1.5,3.0,-0.0922294108630491,-4.5710846852899025e-22,-1.987739619640045e-21,-0.2956345405753661,1.0970603244695802e-19,4.770575087136125e-19,-0.4467502619121455,0,70,255.0,255.0,255.0
14,0.7000000000000001,1.5,3.0,-0.10756624869043929,6.3995185594058966e-21,2.782835467496076e-20,-0.3177724319448752,1.6455904867043706e-19,7.155862630704188e-19,-0.4387653928682185,0,70,255.0,255.0,255.0
15,0.75,1.5,3.0,-0.124,1.5998796398514708e-20,6.957088668740181e-20,-0.3395110798621879,2.1941206489391595e-19,9.541150174272249e-19,-0.43078052382429144,0,70,255.0,255.0,255.0
16,0.8,1.5,3.0,-0.1415121123572093,2.175836310198e-20,9.461640589486648e-20,-0.3609350686125756,1.097060324469561e-20,4.7705750871360454e-20,-0.4261790261912144,0,70,255.0,255.0,255.0
17,0.8500000000000001,1.5,3.0,-0.16008967227989668,1.709585672298427e-20,7.434146177453785e-20,-0.3821289824813094,-1.9747085840452473e-19,-8.58703515684504e-19,-0.42157752855813735,0,70,255.0,255.0,255.0
18,0.9,1.5,3.0,-0.17972117602397936,2.0112772615275565e-21,8.746054326416171e-21,-0.4030928214683893,-4.059123200537447e-19,-1.7651127822403664e-18,-0.4169760309250603,0,70,255.0,255.0,255.0
19,0.9500000000000001,1.5,3.0,-0.20039511984537475,-2.3495375282390217e-20,-1.0216981644949888e-19,-0.4238265855738154,-6.14353781702965e-19,-2.6715220487962312e-18,-0.41237453329198326,0,70,255.0,255.0,255.0
20,1.0,1.5,3.0,-0.2221,-5.942410090876892e-20,-2.5840615055320673e-19,-0.44433027479758763,-8.227952433521849e-19,-3.577931315352093e-18,-0.4077730356589071,0,70,255.0,255.0,255.0
21,1.05,1.5,3.0,-0.24482282622594312,-8.109104231704312e-20,-3.5262500852414516e-19,-0.46451469806993884,-4.388241297878244e-20,-1.9082300348544182e-19,-0.39960389523514184,0,70,255.0,255.0,255.0
22,1.1,1.5,3.0,-0.26854466218997414,-6.381234220664718e-20,-2.774884509017509e-19,-0.48429066432110185,7.3503041739462e-19,3.1962853083812093e-18,-0.39143475481137663,0,70,255.0,255.0,255.0
23,1.1500000000000001,1.5,3.0,-0.2932450850410336,-7.588000577581042e-21,-3.299647768602401e-20,-0.5036581735510766,1.5139432477680226e-18,6.5833936202478605e-18,-0.38326561438761136,0,70,255.0,255.0,255.0
24,1.2000000000000002,1.5,3.0,-0.31890367192806196,8.758198257015518e-20,3.808509111230355e-19,-0.522617225759863,2.292856078141425e-18,9.970501932114512e-18,-0.3750964739638461,0,70,255.0,255.0,255.0
25,1.25,1.5,3.0,-0.3455,2.2169760723656095e-19,9.64053715525425e-19,-0.5411678209474611,3.0717689085148246e-18,1.335761024398115e-17,-0.366927333540076,0,70,255.0,255.0,255.0
26,1.3,1.5,3.0,-0.37301498273901823,3.0260580616619254e-19,1.3158836282017144e-18,-0.5593901391076684,1.6455904867043472e-19,7.155862630704103e-19,-0.3619653928682176,0,70,255.0,255.0,255.0
27,1.35,1.5,3.0,-0.401434878960207,2.3815351210360446e-19,1.0356123418324663e-18,-0.577364360234283,-2.742650811173955e-18,-1.192643771784033e-17,-0.3570034521963592,0,70,255.0,255.0,255.0
28,1.4000000000000001,1.5,3.0,-0.43074728381188665,2.834072504879672e-20,1.2323985641768018e-19,-0.5950904843273044,-5.649860671018345e-18,-2.4568461698751067e-17,-0.3520415115245008,0,70,255.0,255.0,255.0
29,1.4500000000000002,1.5,3.0,-0.4609397924423776,-3.268325549982305e-19,-1.4212338280426433e-18,-0.612568511386733,-8.557070530862735e-18,-3.721048567966181e-17,-0.3470795708526424,0,70,255.0,255.0,255.0
30,1.5,1.5,3.0,-0.492,-8.27366328037475e-19,-3.597808711548494e-18,-0.6297984414125685,-1.1464280390707113e-17,-4.985250966057251e-17,-0.34211763018077956,0,70,255.0,255.0,255.0
31,1.55,1.5,3.0,-0.5239148428179841,-1.129332182347727e-18,-4.9109095042827125e-18,-0.6467407454993876,-6.143537817029557e-19,-2.6715220487961885e-18,-0.33557453329198433,0,70,255.0,255.0,255.0
32,1.6,1.5,3.0,-0.5566686219691981,-8.888017062077708e-19,-3.864960916428113e-18,-0.6633558947417669,1.0235572827301201e-17,4.450946556298013e-17,-0.3290314364031891,0,70,255.0,255.0,255.0
33,1.6500000000000001,1.5,3.0,-0.5902449797114202,-1.0577489961760593e-19,-4.5996294798469535e-19,-0.6796438891397065,2.1085499436305355e-17,9.169045317475645e-17,-0.3224883395143939,0,70,255.0,255.0,255.0
34,1.7000000000000002,1.5,3.0,-0.6246275583024282,1.2197482374227674e-18,5.304084401047539e-18,-0.6956047286932063,3.1935426045309514e-17,1.3887144078653277e-16,-0.31594524262559864,0,70,255.0,255.0,255.0
35,1.75,1.5,3.0,-0.6598,3.087767704913339e-18,1.3427181130668551e-17,-0.7112384134022662,4.278535265431362e-17,1.8605242839830882e-16,-0.3094021457368026,0,70,255.0,255.0,255.0
36,1.8,1.5,3.0,-0.6957456459890456,4.2147229232247155e-18,1.832775438892913e-17,-0.7265268788947824,2.292856078141382e-18,9.970501932114319e-18,-0.3021364739638418,0,70,255.0,255.0,255.0
