idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,-7.5,-3.0,0.0,1.8649652984939612e-18,-1.8649654903868586e-18,0.018783751262842846,-2.2379583581927533e-17,2.23795858846423e-17,-0.5126050151541142,0,70,255.0,255.0,255.0
1,0.05,-7.5,-3.0,0.0003002150454623424,8.578840373072223e-19,-8.578841255779549e-19,-0.0067394744190922935,-1.7903666865542027e-17,1.7903668707713842e-17,-0.5083240121232913,0,70,255.0,255.0,255.0
2,0.1,-7.5,-3.0,-0.0006703799393835436,7.459861193975855e-20,-7.459861961547444e-20,-0.03204864994948629,-1.342775014915652e-17,1.342775153078538e-17,-0.5040430090924685,0,70,255.0,255.0,255.0
3,0.15000000000000002,-7.5,-3.0,-0.0029010824469606015,-4.848909776084297e-19,4.848910275005834e-19,-0.05714377532833914,-8.951833432771012e-18,8.951834353856918e-18,-0.49976200606164556,0,70,255.0,255.0,255.0
4,0.2,-7.5,-3.0,-0.006381189969691772,-8.205847313373427e-19,8.205848157702174e-19,-0.08202485055565086,-4.475916716385506e-18,4.475917176928459e-18,-0.4954810030308227,0,70,255.0,255.0,255.0
5,0.25,-7.5,-3.0,-0.0111,-9.324826492469806e-19,9.324827451934293e-19,-0.10669187563142142,0.0,0.0,-0.49119999999999997,0,70,255.0,255.0,255.0
6,0.30000000000000004,-7.5,-3.0,-0.017046810030308234,-8.205847313373427e-19,8.205848157702176e-19,-0.13114485055565087,4.475916716385511e-18,-4.4759171769284644e-18,-0.48691899696917723,0,70,255.0,255.0,255.0
7,0.35000000000000003,-7.5,-3.0,-0.024210917553039404,-4.848909776084296e-19,4.848910275005829e-19,-0.15538377532833916,8.951833432771017e-18,-8.951834353856924e-18,-0.4826379939383545,0,70,255.0,255.0,255.0
8,0.4,-7.5,-3.0,-0.03258162006061646,7.459861193975874e-20,-7.459861961547454e-20,-0.17940864994948633,1.3427750149156521e-17,-1.3427751530785383e-17,-0.4783569909075318,0,70,255.0,255.0,255.0
9,0.45,-7.5,-3.0,-0.042148215045462345,8.578840373072223e-19,-8.578841255779553e-19,-0.2032194744190923,1.7903666865542027e-17,-1.7903668707713842e-17,-0.47407598787670907,0,70,255.0,255.0,255.0
10,0.5,-7.5,-3.0,-0.0529,1.8649652984939612e-18,-1.8649654903868586e-18,-0.2268162487371572,2.2379583581927536e-17,-2.237958588464231e-17,-0.4697949848458858,0,70,255.0,255.0,255.0
11,0.55,-7.5,-3.0,-0.06482497492422945,2.4244548880421495e-18,-2.4244551375029167e-18,-0.2501211233583044,-1.8488927466117464e-32,1.5407439555097887e-32,-0.46239999999999964,0,70,255.0,255.0,255.0
12,0.6000000000000001,-7.5,-3.0,-0.07790594984845889,1.8649652984939593e-18,-1.864965490386857e-18,-0.2730562487371572,-2.2379583581927573e-17,2.237958588464234e-17,-0.4550050151541135,0,70,255.0,255.0,255.0
13,0.65,-7.5,-3.0,-0.09212443731057358,1.8649652984939493e-19,-1.8649654903868528e-19,-0.2956216248737157,-4.475916716385508e-17,4.475917176928463e-17,-0.44761003030822744,0,70,255.0,255.0,255.0
14,0.7000000000000001,-7.5,-3.0,-0.10746194984845887,-2.6109514178915506e-18,2.6109516865416062e-18,-0.3178172517679799,-6.713875074578264e-17,6.713875765392695e-17,-0.4402150454623413,0,70,255.0,255.0,255.0
15,0.75,-7.5,-3.0,-0.1239,-6.527378544728865e-18,6.5273792163540056e-18,-0.33964312941994984,-8.951833432771015e-17,8.95183435385692e-17,-0.43282006061645717,0,70,255.0,255.0,255.0
16,0.8,-7.5,-3.0,-0.14142049027277406,-8.877234820831256e-18,8.877235734241448e-18,-0.3611226560111319,-4.475916716385435e-18,4.475917176928373e-18,-0.42636100303082375,0,70,255.0,255.0,255.0
17,0.8500000000000001,-7.5,-3.0,-0.1600068830531252,-6.97497021636741e-18,6.974970934046844e-18,-0.38227922972303224,8.056650089493927e-17,-8.056650918471246e-17,-0.4199019454451903,0,70,255.0,255.0,255.0
18,0.9,-7.5,-3.0,-0.17964303069708926,-8.205847313373392e-19,8.205848157702158e-19,-0.4031128505556509,1.6560891850626381e-16,-1.656089355463531e-16,-0.41344288785955696,0,70,255.0,255.0,255.0
19,0.9500000000000001,-7.5,-3.0,-0.20031278556070223,9.585921634258979e-18,-9.585922620588473e-18,-0.42362351850898794,2.506513361175885e-16,-2.506513619079939e-16,-0.40698383027392354,0,70,255.0,255.0,255.0
20,1.0,-7.5,-3.0,-0.222,2.42445488804215e-17,-2.4244551375029163e-17,-0.4438112335830433,3.3569375372891306e-16,-3.3569378826963464e-16,-0.40052477268829456,0,70,255.0,255.0,255.0
