idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,4.5,-3.0,0.0,-1.9588449409199512e-19,2.694014491255803e-19,0.019030436778708193,2.3506139291039416e-18,-3.2328173895069633e-18,-0.5155652413444983,0,70,255.0,255.0,255.0
1,0.05,4.5,-3.0,0.00030909572403349495,-9.010686728231773e-20,1.2392466659776693e-19,-0.006625999081794231,1.8804911432831534e-18,-2.5862539116055706e-18,-0.5106921930755987,0,70,255.0,255.0,255.0
2,0.1,4.5,-3.0,-0.000658539034622007,-7.835379763679779e-21,1.0776057965023204e-20,-0.03203878252885167,1.4103683574623649e-18,-1.939690433704178e-18,-0.505819144806699,0,70,255.0,255.0,255.0
3,0.15000000000000002,4.5,-3.0,-0.002890721655294257,5.0929968463918754e-20,-7.004437677265088e-20,-0.05720791356246414,9.402455716415765e-19,-1.2931269558027851e-18,-0.5009460965377992,0,70,255.0,255.0,255.0
4,0.2,4.5,-3.0,-0.006375269517311004,8.618917740047788e-20,-1.1853663761525532e-19,-0.08213339218263159,4.701227858207882e-19,-6.465634779013924e-19,-0.49607304826889953,0,70,255.0,255.0,255.0
5,0.25,4.5,-3.0,-0.0111,9.794224704599756e-20,-1.3470072456279015e-19,-0.1068152183893541,0.0,0.0,-0.4912000000000001,0,70,255.0,255.0,255.0
6,0.30000000000000004,4.5,-3.0,-0.017052730482689002,8.618917740047783e-20,-1.185366376152553e-19,-0.13125339218263163,-4.701227858207887e-19,6.465634779013932e-19,-0.48632695173110047,0,70,255.0,255.0,255.0
7,0.35000000000000003,4.5,-3.0,-0.02422127834470575,5.0929968463918694e-20,-7.004437677265083e-20,-0.15544791356246415,-9.40245571641577e-19,1.2931269558027857e-18,-0.48145390346220085,0,70,255.0,255.0,255.0
8,0.4,4.5,-3.0,-0.032593460965378,-7.835379763679839e-21,1.077605796502324e-20,-0.1793987825288517,-1.410368357462365e-18,1.9396904337041782e-18,-0.4765808551933012,0,70,255.0,255.0,255.0
9,0.45,4.5,-3.0,-0.042157095724033505,-9.01068672823178e-20,1.2392466659776698e-19,-0.20310599908179428,-1.8804911432831534e-18,2.586253911605571e-18,-0.47170780692440156,0,70,255.0,255.0,255.0
10,0.5,4.5,-3.0,-0.0529,-1.9588449409199512e-19,2.694014491255803e-19,-0.22656956322129185,-2.350613929103942e-18,3.2328173895069637e-18,-0.4668347586555024,0,70,255.0,255.0,255.0
11,0.55,4.5,-3.0,-0.06480937379327753,-2.546498423195937e-19,3.502218838632544e-19,-0.24975243218767942,1.925929944387236e-33,-2.6963019221421302e-33,-0.4604799999999999,0,70,255.0,255.0,255.0
12,0.6000000000000001,4.5,-3.0,-0.07786994758655505,-1.9588449409199497e-19,2.6940144912557996e-19,-0.2726175632212919,2.350613929103946e-18,-3.232817389506969e-18,-0.45412524134449744,0,70,255.0,255.0,255.0
13,0.65,4.5,-3.0,-0.09206583448319379,-1.958844940919941e-20,2.6940144912558015e-20,-0.2951649563221292,4.701227858207883e-18,-6.46563477901393e-18,-0.44777048268899494,0,70,255.0,255.0,255.0
