idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,10.5,0.0,0.0,-2.702182895289211e-19,-1.1111703098738782e-90,0.019030436776039605,3.242619474347053e-18,1.3334043718486539e-89,-0.5155652413124753,0,70,255.0,255.0,255.0
1,0.05,10.5,-4.000213115545962e-92,0.0003090957239374257,-1.2430041318330368e-19,-5.111383425419839e-91,-0.006625999083021784,2.5940955794776424e-18,1.0667234974789232e-89,-0.5106921930499801,0,70,255.0,255.0,255.0
2,0.1,10.5,-5.333617487394616e-92,-0.0006585390347500995,-1.0808731581156823e-20,-4.4446812394955044e-92,-0.03203878252895842,1.9455716846082317e-18,8.000426231091924e-90,-0.5058191447874851,0,70,255.0,255.0,255.0
3,0.15000000000000002,10.5,-4.666915301470285e-92,-0.0028907216554063375,7.025675527751949e-20,2.889042805672084e-91,-0.0572079135617703,1.297047789738821e-18,5.333617487394615e-90,-0.50094609652499,0,70,255.0,255.0,255.0
4,0.2,10.5,-2.6668087436973065e-92,-0.006375269517375051,1.188960473927253e-19,4.8891493634450647e-91,-0.08213339218145743,6.485238948694103e-19,2.6668087436973075e-90,-0.49607304826249493,0,70,255.0,255.0,255.0
5,0.25,10.5,0.0,-0.0111,1.3510914476446055e-19,5.555851549369391e-91,-0.1068152183880198,0.0,0.0,-0.49119999999999986,0,70,255.0,255.0,255.0
6,0.30000000000000004,10.5,2.6668087436973095e-92,-0.017052730482624956,1.1889604739272524e-19,4.8891493634450625e-91,-0.13125339218145746,-6.485238948694112e-19,-2.66680874369731e-90,-0.48632695173750495,0,70,255.0,255.0,255.0
7,0.35000000000000003,10.5,4.666915301470289e-92,-0.02422127834459367,7.025675527751944e-20,2.889042805672081e-91,-0.15544791356177032,-1.2970477897388216e-18,-5.3336174873946175e-90,-0.4814539034750101,0,70,255.0,255.0,255.0
8,0.4,10.5,5.333617487394615e-92,-0.032593460965249905,-1.0808731581156895e-20,-4.444681239495537e-92,-0.17939878252895844,-1.945571684608232e-18,-8.000426231091924e-90,-0.4765808552125152,0,70,255.0,255.0,255.0
9,0.45,10.5,4.000213115545961e-92,-0.04215709572393743,-1.2430041318330377e-19,-5.111383425419842e-91,-0.20310599908302182,-2.5940955794776428e-18,-1.0667234974789232e-89,-0.47170780695002035,0,70,255.0,255.0,255.0
10,0.5,10.5,0.0,-0.0529,-2.702182895289211e-19,-1.1111703098738782e-90,-0.22656956322396044,-3.2426194743470527e-18,-1.3334043718486537e-89,-0.4668347586875261,0,70,255.0,255.0,255.0
11,0.55,10.5,-6.667021859243274e-92,-0.06480937379343764,-3.512837763875974e-19,-1.4445214028360416e-90,-0.24975243219114862,3.0814879110195774e-33,1.220842245327137e-104,-0.46048000000000017,0,70,255.0,255.0,255.0
12,0.6000000000000001,10.5,-1.333404371848655e-91,-0.07786994758687528,-2.7021828952892076e-19,-1.1111703098738769e-90,-0.27261756322396047,3.242619474347059e-18,1.3334043718486562e-89,-0.4541252413124742,0,70,255.0,255.0,255.0
13,0.65,10.5,-1.6667554648108174e-91,-0.09206583448359407,-2.7021828952891984e-20,-1.1111703098738701e-91,-0.29516495632239603,6.4852389486941086e-18,2.6668087436973078e-89,-0.44777048262494834,0,70,255.0,255.0,255.0
14,0.7000000000000001,10.5,-1.3334043718486524e-91,-0.10738114758687527,3.783056053404903e-19,1.555638433823433e-90,-0.3173946114864553,9.727858423041164e-18,4.000213115545963e-89,-0.4414157239374224,0,70,255.0,255.0,255.0
15,0.75,10.5,0.0,-0.1238,9.457640133512238e-19,3.8890960845585737e-90,-0.3393065287161383,1.2970477897388211e-17,5.3336174873946156e-89,-0.4350609652498987,0,70,255.0,255.0,255.0
