idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,-10.5,3.0,0.0,-9.44145465713162e-20,2.9637788444819624e-19,0.019030436776039605,1.1329745588557945e-18,-3.5565346133783545e-18,-0.5155652413124753,0,70,255.0,255.0,255.0
1,0.05,-10.5,3.0,0.0003090957239374257,-4.3430691422805456e-20,1.3633382684617026e-19,-0.006625999083021784,9.063796470846356e-19,-2.8452276907026836e-18,-0.5106921930499801,0,70,255.0,255.0,255.0
2,0.1,-10.5,3.0,-0.0006585390347500995,-3.776581862852653e-21,1.185511537792786e-20,-0.03203878252895842,6.797847353134767e-19,-2.1339207680270126e-18,-0.5058191447874851,0,70,255.0,255.0,255.0
3,0.15000000000000002,-10.5,3.0,-0.0028907216554063375,2.4547782108542233e-20,-7.705824995653099e-20,-0.0572079135617703,4.531898235423177e-19,-1.4226138453513416e-18,-0.50094609652499,0,70,255.0,255.0,255.0
4,0.2,-10.5,3.0,-0.006375269517375051,4.154240049137912e-20,-1.304062691572063e-19,-0.08213339218145743,2.2659491177115894e-19,-7.113069226756706e-19,-0.49607304826249493,0,70,255.0,255.0,255.0
5,0.25,-10.5,3.0,-0.0111,4.72072732856581e-20,-1.4818894222409812e-19,-0.1068152183880198,0.0,0.0,-0.49119999999999986,0,70,255.0,255.0,255.0
6,0.30000000000000004,-10.5,3.0,-0.017052730482624956,4.154240049137912e-20,-1.304062691572063e-19,-0.13125339218145746,-2.265949117711591e-19,7.113069226756716e-19,-0.48632695173750495,0,70,255.0,255.0,255.0
7,0.35000000000000003,-10.5,3.0,-0.02422127834459367,2.4547782108542196e-20,-7.705824995653098e-20,-0.15544791356177032,-4.53189823542318e-19,1.4226138453513424e-18,-0.4814539034750101,0,70,255.0,255.0,255.0
8,0.4,-10.5,3.0,-0.032593460965249905,-3.776581862852665e-21,1.1855115377927883e-20,-0.17939878252895844,-6.797847353134768e-19,2.133920768027013e-18,-0.4765808552125152,0,70,255.0,255.0,255.0
9,0.45,-10.5,3.0,-0.04215709572393743,-4.3430691422805474e-20,1.363338268461703e-19,-0.20310599908302182,-9.063796470846356e-19,2.845227690702684e-18,-0.47170780695002035,0,70,255.0,255.0,255.0
10,0.5,-10.5,3.0,-0.0529,-9.44145465713162e-20,2.9637788444819624e-19,-0.22656956322396044,-1.1329745588557945e-18,3.5565346133783545e-18,-0.4668347586875261,0,70,255.0,255.0,255.0
11,0.55,-10.5,3.0,-0.06480937379343764,-1.2273891054271106e-19,3.8529124978265516e-19,-0.24975243219114862,9.62964972193618e-34,-3.851859888774472e-33,-0.46048000000000017,0,70,255.0,255.0,255.0
12,0.6000000000000001,-10.5,3.0,-0.07786994758687528,-9.441454657131612e-20,2.963778844481959e-19,-0.27261756322396047,1.1329745588557964e-18,-3.556534613378362e-18,-0.4541252413124742,0,70,255.0,255.0,255.0
13,0.65,-10.5,3.0,-0.09206583448359407,-9.441454657131566e-21,2.9637788444819384e-20,-0.29516495632239603,2.2659491177115894e-18,-7.113069226756712e-18,-0.44777048262494834,0,70,255.0,255.0,255.0
14,0.7000000000000001,-10.5,3.0,-0.10738114758687527,1.32180365199843e-19,-4.149290382274756e-19,-0.3173946114864553,3.398923676567385e-18,-1.066960384013507e-17,-0.4414157239374224,0,70,255.0,255.0,255.0
15,0.75,-10.5,3.0,-0.1238,3.304509129996067e-19,-1.0373225955686868e-18,-0.3393065287161383,4.531898235423179e-18,-1.4226138453513418e-17,-0.4350609652498987,0,70,255.0,255.0,255.0
16,0.8,-10.5,3.0,-0.14130657434362454,4.494132416794651e-19,-1.4107587299734143e-18,-0.3609048790539482,2.2659491177115567e-19,-7.113069226756583e-19,-0.42887304826249545,0,70,255.0,255.0,255.0
17,0.8500000000000001,-10.5,3.0,-0.15988533130790536,3.5311040417672226e-19,-1.1084532878362527e-18,-0.3821938335423879,-4.0787084118808675e-18,1.2803524608162102e-17,-0.42268513127509216,0,70,255.0,255.0,255.0
18,0.9,-10.5,3.0,-0.17952080110037383,4.1542400491379027e-20,-1.3040626915720563e-19,-0.40317339218145737,-8.384011735532882e-18,2.6318356138999834e-17,-0.41649721428768893,0,70,255.0,255.0,255.0
19,0.9500000000000001,-10.5,3.0,-0.20019751392856158,-4.852907693765662e-19,1.5233823260637324e-18,-0.4238435549711568,-1.2689315059184905e-17,3.983318766983759e-17,-0.4103092973002857,0,70,255.0,255.0,255.0
20,1.0,-10.5,3.0,-0.2219,-1.2273891054271107e-18,3.852912497826551e-18,-0.444204321911486,-1.6994618382836913e-17,5.334801920067533e-17,-0.4041213803128847,0,70,255.0,255.0,255.0
21,1.05,-10.5,3.0,-0.24461232883206424,-1.6749140561751494e-18,5.2577436701110015e-18,-0.4642280515930587,-9.063796470846196e-19,2.8452276907026393e-18,-0.3968278069500214,0,70,255.0,255.0,255.0
22,1.1,-10.5,3.0,-0.2683167271815035,-1.3180270701355725e-18,4.137435266896816e-18,-0.4838871026064882,1.5181859088667674e-17,-4.765756381927005e-17,-0.38953423358715816,0,70,255.0,255.0,255.0
23,1.1500000000000001,-10.5,3.0,-0.29299496111491063,-1.5672814730837977e-19,4.919872881839915e-19,-0.5031814749517745,3.127009782441997e-17,-9.816035532924275e-17,-0.38224066022429487,0,70,255.0,255.0,255.0
24,1.2000000000000002,-10.5,3.0,-0.3186287966988786,1.8089827123064276e-18,-5.6786002660274675e-18,-0.5221111686289177,4.735833656017226e-17,-1.4866314683921543e-16,-0.3749470868614316,0,70,255.0,255.0,255.0
25,1.25,-10.5,3.0,-0.3452,4.579105508708836e-18,-1.4374327395737518e-17,-0.5406761836379177,6.344657529592448e-17,-1.9916593834918787e-16,-0.36765351349857056,0,70,255.0,255.0,255.0
26,1.3,-10.5,3.0,-0.37269131032811864,6.250242983021132e-18,-1.9620215950470593e-17,-0.5589349145738176,3.3989236765673173e-18,-1.0669603840134883e-17,-0.3626957239374228,0,70,255.0,255.0,255.0
27,1.35,-10.5,3.0,-0.4010893599660808,4.918997876365568e-18,-1.544128777975101e-17,-0.5769457560316601,-5.664872794278985e-17,1.778267306689181e-16,-0.35773793437627505,0,70,255.0,255.0,255.0
28,1.4000000000000001,-10.5,3.0,-0.4303817544399838,5.853701887421414e-19,-1.8375428835787723e-18,-0.594708708011445,-1.16696379562147e-16,3.663230651779711e-16,-0.35278014481512726,0,70,255.0,255.0,255.0
29,1.4500000000000002,-10.5,3.0,-0.4605560992759245,-6.7506400798491424e-18,2.1191018738046126e-17,-0.6122237705131728,-1.7674403118150417e-16,5.548193996870241e-16,-0.3478223552539795,0,70,255.0,255.0,255.0
30,1.5,-10.5,3.0,-0.4916,-1.7089032929408233e-17,5.3644397085123516e-17,-0.6294909435368431,-2.3679168280086104e-16,7.43315734196076e-16,-0.3428645656928362,0,70,255.0,255.0,255.0
31,1.55,-10.5,3.0,-0.5235000298554614,-2.3326057875909382e-17,7.322312013177135e-17,-0.6464482901116713,-1.2689315059184674e-17,3.983318766983684e-17,-0.3354292973002879,0,70,255.0,255.0,255.0
32,1.6,-10.5,3.0,-0.5562386329541734,-1.83579644353267e-17,5.76277158521072e-17,-0.6630338732668719,2.114130526824917e-16,-6.636493588564023e-16,-0.32799402890773965,0,70,255.0,255.0,255.0
33,1.6500000000000001,-10.5,3.0,-0.5897972211251548,-2.184752607660193e-18,6.85818424613105e-18,-0.6792476930024453,4.355154204241681e-16,-1.3671319053826414e-15,-0.3205587605151914,0,70,255.0,255.0,255.0
